periodo,producto,nombre_producto,cantidad_planeada,cantidad_real
2024-12-01,PT-SIL-GER,Silla gerencial,35,35
2024-12-01,PT-MOD-REC,Módulo recepción,96,94
2024-12-01,PT-MOD-CAL,Módulo call center,39,35
2024-12-01,PT-LOCK-12,Lockers 12 puertas,51,55
2024-12-01,PT-MESA-JUN,Mesa de juntas,41,40
2024-12-01,PT-BIB-MET,Biblioteca metálica,84,76
2025-01-01,PT-ESC-STD,Escritorio estándar,73,67
2025-01-01,PT-ESC-EJE,Escritorio ejecutivo,86,81
2025-01-01,PT-ESC-L,Escritorio en L,42,46
2025-01-01,PT-ESC-GER,Escritorio gerencial,109,115
2025-01-01,PT-ARCH-4G,Archivador 4 gavetas,75,65
2025-01-01,PT-ARCH-2G,Archivador 2 gavetas,53,53
2025-01-01,PT-ARCH-ROD,Archivador rodante,119,117
2025-01-01,PT-EST-5N,Estantería 5 niveles,117,125
2025-01-01,PT-EST-3N,Estantería 3 niveles,114,100
2025-01-01,PT-EST-IND,Estantería industrial,36,35
2025-01-01,PT-SIL-OPE,Silla operativa,100,87
2025-01-01,PT-SIL-INT,Silla interlocutora,43,46
2025-01-01,PT-SIL-GER,Silla gerencial,115,113
2025-01-01,PT-MOD-REC,Módulo recepción,47,42
2025-01-01,PT-MOD-CAL,Módulo call center,95,93
2025-01-01,PT-LOCK-12,Lockers 12 puertas,23,21
2025-01-01,PT-MESA-JUN,Mesa de juntas,75,79
2025-01-01,PT-BIB-MET,Biblioteca metálica,69,69
2025-02-01,PT-ESC-STD,Escritorio estándar,20,20
2025-02-01,PT-ESC-EJE,Escritorio ejecutivo,26,24
2025-02-01,PT-ESC-L,Escritorio en L,87,95
2025-02-01,PT-ESC-GER,Escritorio gerencial,70,63
2025-02-01,PT-ARCH-4G,Archivador 4 gavetas,62,60
2025-02-01,PT-ARCH-2G,Archivador 2 gavetas,114,98
2025-02-01,PT-ARCH-ROD,Archivador rodante,89,97
2025-02-01,PT-EST-5N,Estantería 5 niveles,100,85
2025-02-01,PT-EST-3N,Estantería 3 niveles,69,74
2025-02-01,PT-EST-IND,Estantería industrial,82,83
2025-02-01,PT-SIL-OPE,Silla operativa,113,105
2025-02-01,PT-SIL-INT,Silla interlocutora,116,125
2025-02-01,PT-SIL-GER,Silla gerencial,113,101
2025-02-01,PT-MOD-REC,Módulo recepción,70,70
2025-02-01,PT-MOD-CAL,Módulo call center,81,83
2025-02-01,PT-LOCK-12,Lockers 12 puertas,111,114
2025-02-01,PT-MESA-JUN,Mesa de juntas,80,70
2025-02-01,PT-BIB-MET,Biblioteca metálica,81,76
2025-03-01,PT-ESC-STD,Escritorio estándar,66,59
2025-03-01,PT-ESC-EJE,Escritorio ejecutivo,22,23
2025-03-01,PT-ESC-L,Escritorio en L,104,104
2025-03-01,PT-ESC-GER,Escritorio gerencial,25,21
2025-03-01,PT-ARCH-4G,Archivador 4 gavetas,72,62
2025-03-01,PT-ARCH-2G,Archivador 2 gavetas,114,124
2025-03-01,PT-ARCH-ROD,Archivador rodante,49,41
2025-03-01,PT-EST-5N,Estantería 5 niveles,74,73
2025-03-01,PT-EST-3N,Estantería 3 niveles,100,95
2025-03-01,PT-EST-IND,Estantería industrial,92,92
2025-03-01,PT-SIL-OPE,Silla operativa,42,43
2025-03-01,PT-SIL-INT,Silla interlocutora,64,62
2025-03-01,PT-SIL-GER,Silla gerencial,84,91
2025-03-01,PT-MOD-REC,Módulo recepción,99,98
2025-03-01,PT-MOD-CAL,Módulo call center,59,63
2025-03-01,PT-LOCK-12,Lockers 12 puertas,23,23
2025-03-01,PT-MESA-JUN,Mesa de juntas,24,25
2025-03-01,PT-BIB-MET,Biblioteca metálica,70,76
2025-04-01,PT-ESC-STD,Escritorio estándar,60,53
2025-04-01,PT-ESC-EJE,Escritorio ejecutivo,34,31
2025-04-01,PT-ESC-L,Escritorio en L,44,41
2025-04-01,PT-ESC-GER,Escritorio gerencial,91,79
2025-04-01,PT-ARCH-4G,Archivador 4 gavetas,63,59
2025-04-01,PT-ARCH-2G,Archivador 2 gavetas,116,112
2025-04-01,PT-ARCH-ROD,Archivador rodante,112,116
2025-04-01,PT-EST-5N,Estantería 5 niveles,97,90
2025-04-01,PT-EST-3N,Estantería 3 niveles,37,33
2025-04-01,PT-EST-IND,Estantería industrial,76,72
2025-04-01,PT-SIL-OPE,Silla operativa,101,104
2025-04-01,PT-SIL-INT,Silla interlocutora,21,18
2025-04-01,PT-SIL-GER,Silla gerencial,117,100
2025-04-01,PT-MOD-REC,Módulo recepción,48,45
2025-04-01,PT-MOD-CAL,Módulo call center,22,23
2025-04-01,PT-LOCK-12,Lockers 12 puertas,101,87
2025-04-01,PT-MESA-JUN,Mesa de juntas,25,24
2025-04-01,PT-BIB-MET,Biblioteca metálica,87,76
2025-05-01,PT-ESC-STD,Escritorio estándar,65,64
2025-05-01,PT-ESC-EJE,Escritorio ejecutivo,95,82
2025-05-01,PT-ESC-L,Escritorio en L,81,83
2025-05-01,PT-ESC-GER,Escritorio gerencial,73,68
2025-05-01,PT-ARCH-4G,Archivador 4 gavetas,31,26
2025-05-01,PT-ARCH-2G,Archivador 2 gavetas,26,25
2025-05-01,PT-ARCH-ROD,Archivador rodante,69,61
2025-05-01,PT-EST-5N,Estantería 5 niveles,49,52
2025-05-01,PT-EST-3N,Estantería 3 niveles,59,61
2025-05-01,PT-EST-IND,Estantería industrial,75,79
2025-05-01,PT-SIL-OPE,Silla operativa,105,103
2025-05-01,PT-SIL-INT,Silla interlocutora,88,85
2025-05-01,PT-SIL-GER,Silla gerencial,26,27
2025-05-01,PT-MOD-REC,Módulo recepción,113,120
2025-05-01,PT-MOD-CAL,Módulo call center,44,39
2025-05-01,PT-LOCK-12,Lockers 12 puertas,44,43
2025-05-01,PT-MESA-JUN,Mesa de juntas,70,69
2025-05-01,PT-BIB-MET,Biblioteca metálica,108,107
2025-06-01,PT-ESC-STD,Escritorio estándar,117,108
2025-06-01,PT-ESC-EJE,Escritorio ejecutivo,112,99
2025-06-01,PT-ESC-L,Escritorio en L,61,55
2025-06-01,PT-ESC-GER,Escritorio gerencial,115,115
2025-06-01,PT-ARCH-4G,Archivador 4 gavetas,102,109
2025-06-01,PT-ARCH-2G,Archivador 2 gavetas,69,60
2025-06-01,PT-ARCH-ROD,Archivador rodante,23,23
2025-06-01,PT-EST-5N,Estantería 5 niveles,54,53
2025-06-01,PT-EST-3N,Estantería 3 niveles,79,72
2025-06-01,PT-EST-IND,Estantería industrial,92,95
2025-06-01,PT-SIL-OPE,Silla operativa,89,90
2025-06-01,PT-SIL-INT,Silla interlocutora,86,88
2025-06-01,PT-SIL-GER,Silla gerencial,46,40
2025-06-01,PT-MOD-REC,Módulo recepción,67,65
2025-06-01,PT-MOD-CAL,Módulo call center,39,42
2025-06-01,PT-LOCK-12,Lockers 12 puertas,37,39
2025-06-01,PT-MESA-JUN,Mesa de juntas,110,115
2025-06-01,PT-BIB-MET,Biblioteca metálica,37,37
2025-07-01,PT-ESC-STD,Escritorio estándar,94,97
2025-07-01,PT-ESC-EJE,Escritorio ejecutivo,35,38
2025-07-01,PT-ESC-L,Escritorio en L,107,109
2025-07-01,PT-ESC-GER,Escritorio gerencial,75,77
2025-07-01,PT-ARCH-4G,Archivador 4 gavetas,99,93
2025-07-01,PT-ARCH-2G,Archivador 2 gavetas,113,102
2025-07-01,PT-ARCH-ROD,Archivador rodante,70,68
2025-07-01,PT-EST-5N,Estantería 5 niveles,96,98
2025-07-01,PT-EST-3N,Estantería 3 niveles,110,116
2025-07-01,PT-EST-IND,Estantería industrial,112,97
2025-07-01,PT-SIL-OPE,Silla operativa,42,35
2025-07-01,PT-SIL-INT,Silla interlocutora,51,49
2025-07-01,PT-SIL-GER,Silla gerencial,22,22
2025-07-01,PT-MOD-REC,Módulo recepción,55,59
2025-07-01,PT-MOD-CAL,Módulo call center,28,24
2025-07-01,PT-LOCK-12,Lockers 12 puertas,94,98
2025-07-01,PT-MESA-JUN,Mesa de juntas,46,49
2025-07-01,PT-BIB-MET,Biblioteca metálica,45,45
2025-08-01,PT-ESC-STD,Escritorio estándar,61,66
2025-08-01,PT-ESC-EJE,Escritorio ejecutivo,97,93
2025-08-01,PT-ESC-L,Escritorio en L,52,54
2025-08-01,PT-ESC-GER,Escritorio gerencial,46,40
2025-08-01,PT-ARCH-4G,Archivador 4 gavetas,118,122
2025-08-01,PT-ARCH-2G,Archivador 2 gavetas,79,70
2025-08-01,PT-ARCH-ROD,Archivador rodante,52,52
2025-08-01,PT-EST-5N,Estantería 5 niveles,70,59
2025-08-01,PT-EST-3N,Estantería 3 niveles,76,80
2025-08-01,PT-EST-IND,Estantería industrial,65,67
2025-08-01,PT-SIL-OPE,Silla operativa,26,26
2025-08-01,PT-SIL-INT,Silla interlocutora,85,82
2025-08-01,PT-SIL-GER,Silla gerencial,76,82
2025-08-01,PT-MOD-REC,Módulo recepción,24,23
2025-08-01,PT-MOD-CAL,Módulo call center,110,119
2025-08-01,PT-LOCK-12,Lockers 12 puertas,113,106
2025-08-01,PT-MESA-JUN,Mesa de juntas,51,47
2025-08-01,PT-BIB-MET,Biblioteca metálica,79,76
2025-09-01,PT-ESC-STD,Escritorio estándar,29,27
2025-09-01,PT-ESC-EJE,Escritorio ejecutivo,26,25
2025-09-01,PT-ESC-L,Escritorio en L,29,26
2025-09-01,PT-ESC-GER,Escritorio gerencial,107,96
2025-09-01,PT-ARCH-4G,Archivador 4 gavetas,83,70
2025-09-01,PT-ARCH-2G,Archivador 2 gavetas,89,83
2025-09-01,PT-ARCH-ROD,Archivador rodante,64,60
2025-09-01,PT-EST-5N,Estantería 5 niveles,92,93
2025-09-01,PT-EST-3N,Estantería 3 niveles,46,45
2025-09-01,PT-EST-IND,Estantería industrial,80,87
2025-09-01,PT-SIL-OPE,Silla operativa,83,86
2025-09-01,PT-SIL-INT,Silla interlocutora,86,87
2025-09-01,PT-SIL-GER,Silla gerencial,61,63
2025-09-01,PT-MOD-REC,Módulo recepción,100,106
2025-09-01,PT-MOD-CAL,Módulo call center,85,73
2025-09-01,PT-LOCK-12,Lockers 12 puertas,120,129
2025-09-01,PT-MESA-JUN,Mesa de juntas,20,18
2025-09-01,PT-BIB-MET,Biblioteca metálica,85,88
2025-10-01,PT-ESC-STD,Escritorio estándar,31,31
2025-10-01,PT-ESC-EJE,Escritorio ejecutivo,33,29
2025-10-01,PT-ESC-L,Escritorio en L,103,88
2025-10-01,PT-ESC-GER,Escritorio gerencial,28,29
2025-10-01,PT-ARCH-4G,Archivador 4 gavetas,98,92
2025-10-01,PT-ARCH-2G,Archivador 2 gavetas,84,86
2025-10-01,PT-ARCH-ROD,Archivador rodante,96,99
2025-10-01,PT-EST-5N,Estantería 5 niveles,67,72
2025-10-01,PT-EST-3N,Estantería 3 niveles,75,68
2025-10-01,PT-EST-IND,Estantería industrial,65,65
2025-10-01,PT-SIL-OPE,Silla operativa,117,124
2025-10-01,PT-SIL-INT,Silla interlocutora,30,30
2025-10-01,PT-SIL-GER,Silla gerencial,47,40
2025-10-01,PT-MOD-REC,Módulo recepción,24,20
2025-10-01,PT-MOD-CAL,Módulo call center,57,57
2025-10-01,PT-LOCK-12,Lockers 12 puertas,46,45
2025-10-01,PT-MESA-JUN,Mesa de juntas,115,102
2025-10-01,PT-BIB-MET,Biblioteca metálica,106,92
2025-11-01,PT-ESC-STD,Escritorio estándar,30,32
2025-11-01,PT-ESC-EJE,Escritorio ejecutivo,45,43
2025-11-01,PT-ESC-L,Escritorio en L,74,74
2025-11-01,PT-ESC-GER,Escritorio gerencial,47,49
2025-11-01,PT-ARCH-4G,Archivador 4 gavetas,56,51
2025-11-01,PT-ARCH-2G,Archivador 2 gavetas,67,68
2025-11-01,PT-ARCH-ROD,Archivador rodante,86,83
2025-11-01,PT-EST-5N,Estantería 5 niveles,57,58
2025-11-01,PT-EST-3N,Estantería 3 niveles,89,89
2025-11-01,PT-EST-IND,Estantería industrial,44,39
2025-11-01,PT-SIL-OPE,Silla operativa,96,92
2025-11-01,PT-SIL-INT,Silla interlocutora,63,63
2025-11-01,PT-SIL-GER,Silla gerencial,79,82
2025-11-01,PT-MOD-REC,Módulo recepción,106,110
2025-11-01,PT-MOD-CAL,Módulo call center,95,91
2025-11-01,PT-LOCK-12,Lockers 12 puertas,57,55
2025-11-01,PT-MESA-JUN,Mesa de juntas,64,68
2025-11-01,PT-BIB-MET,Biblioteca metálica,70,65
2025-12-01,PT-ESC-STD,Escritorio estándar,20,18
2025-12-01,PT-ESC-EJE,Escritorio ejecutivo,35,32
2025-12-01,PT-ESC-L,Escritorio en L,106,110
2025-12-01,PT-ESC-GER,Escritorio gerencial,70,63
2025-12-01,PT-ARCH-4G,Archivador 4 gavetas,38,41
2025-12-01,PT-ARCH-2G,Archivador 2 gavetas,67,61
2025-12-01,PT-ARCH-ROD,Archivador rodante,22,21
2025-12-01,PT-EST-5N,Estantería 5 niveles,27,25
2025-12-01,PT-EST-3N,Estantería 3 niveles,89,84
2025-12-01,PT-EST-IND,Estantería industrial,80,86
2025-12-01,PT-SIL-OPE,Silla operativa,35,34
2025-12-01,PT-SIL-INT,Silla interlocutora,88,76
2025-12-01,PT-SIL-GER,Silla gerencial,105,102
2025-12-01,PT-MOD-REC,Módulo recepción,114,106
2025-12-01,PT-MOD-CAL,Módulo call center,24,22
2025-12-01,PT-LOCK-12,Lockers 12 puertas,87,92
2025-12-01,PT-MESA-JUN,Mesa de juntas,79,81
2025-12-01,PT-BIB-MET,Biblioteca metálica,29,29
2026-01-01,PT-ESC-STD,Escritorio estándar,48,43
2026-01-01,PT-ESC-EJE,Escritorio ejecutivo,24,25
2026-01-01,PT-ESC-L,Escritorio en L,58,56
2026-01-01,PT-ESC-GER,Escritorio gerencial,90,97
2026-01-01,PT-ARCH-4G,Archivador 4 gavetas,208,202
2026-01-01,PT-ARCH-2G,Archivador 2 gavetas,185,175
2026-01-01,PT-ARCH-ROD,Archivador rodante,108,94
2026-01-01,PT-EST-5N,Estantería 5 niveles,224,225
2026-01-01,PT-EST-3N,Estantería 3 niveles,100,91
2026-01-01,PT-EST-IND,Estantería industrial,120,104
2026-01-01,PT-SIL-OPE,Silla operativa,62,57
2026-01-01,PT-SIL-INT,Silla interlocutora,23,20
2026-01-01,PT-SIL-GER,Silla gerencial,108,99
2026-01-01,PT-MOD-REC,Módulo recepción,41,39
2026-01-01,PT-MOD-CAL,Módulo call center,109,99
2026-01-01,PT-LOCK-12,Lockers 12 puertas,84,87
2026-01-01,PT-MESA-JUN,Mesa de juntas,27,28
2026-01-01,PT-BIB-MET,Biblioteca metálica,81,89
2026-02-01,PT-ESC-STD,Escritorio estándar,97,85
2026-02-01,PT-ESC-EJE,Escritorio ejecutivo,112,112
2026-02-01,PT-ESC-L,Escritorio en L,29,27
2026-02-01,PT-ESC-GER,Escritorio gerencial,88,79
2026-02-01,PT-ARCH-4G,Archivador 4 gavetas,91,94
2026-02-01,PT-ARCH-2G,Archivador 2 gavetas,158,160
2026-02-01,PT-ARCH-ROD,Archivador rodante,51,55
2026-02-01,PT-EST-5N,Estantería 5 niveles,112,100
2026-02-01,PT-EST-3N,Estantería 3 niveles,48,51
2026-02-01,PT-EST-IND,Estantería industrial,105,114
2026-02-01,PT-SIL-OPE,Silla operativa,105,105
2026-02-01,PT-SIL-INT,Silla interlocutora,119,127
2026-02-01,PT-SIL-GER,Silla gerencial,116,101
2026-02-01,PT-MOD-REC,Módulo recepción,46,43
2026-02-01,PT-MOD-CAL,Módulo call center,96,83
2026-02-01,PT-LOCK-12,Lockers 12 puertas,77,73
2026-02-01,PT-MESA-JUN,Mesa de juntas,83,77
2026-02-01,PT-BIB-MET,Biblioteca metálica,31,26
2026-03-01,PT-ESC-STD,Escritorio estándar,67,68
2026-03-01,PT-ESC-EJE,Escritorio ejecutivo,60,54
2026-03-01,PT-ESC-L,Escritorio en L,23,24
2026-03-01,PT-ESC-GER,Escritorio gerencial,64,60
2026-03-01,PT-ARCH-4G,Archivador 4 gavetas,185,177
2026-03-01,PT-ARCH-2G,Archivador 2 gavetas,41,39
2026-03-01,PT-ARCH-ROD,Archivador rodante,115,111
2026-03-01,PT-EST-5N,Estantería 5 niveles,140,121
2026-03-01,PT-EST-3N,Estantería 3 niveles,42,41
2026-03-01,PT-EST-IND,Estantería industrial,50,51
2026-03-01,PT-SIL-OPE,Silla operativa,79,84
2026-03-01,PT-SIL-INT,Silla interlocutora,45,46
2026-03-01,PT-SIL-GER,Silla gerencial,84,80
2026-03-01,PT-MOD-REC,Módulo recepción,102,95
2026-03-01,PT-MOD-CAL,Módulo call center,117,119
2026-03-01,PT-LOCK-12,Lockers 12 puertas,118,128
2026-03-01,PT-MESA-JUN,Mesa de juntas,65,63
2026-03-01,PT-BIB-MET,Biblioteca metálica,54,54
