fecha,sku,tipo_movimiento,cantidad,documento,bodega,responsable
2024-07-01,MP-0157,salida,71.2,CONS-101621,BOD-02,OP-05
2024-07-01,MP-0001,salida,25.6,CONS-101628,BOD-03,OP-03
2024-07-01,MP-0014,salida,20.8,CONS-101635,BOD-02,OP-02
2024-07-01,MP-0128,salida,91.8,CONS-101642,BOD-02,OP-04
2024-07-01,MP-0047,salida,11.0,CONS-101649,BOD-01,OP-01
2024-07-01,MP-0244,salida,12.4,CONS-101656,BOD-01,OP-03
2024-07-01,MP-0122,salida,50.8,CONS-101663,BOD-01,OP-05
2024-07-01,MP-0132,salida,84.3,CONS-101670,BOD-03,OP-01
2024-07-01,MP-0131,salida,31.2,CONS-101677,BOD-03,OP-03
2024-07-01,MP-0216,salida,65.1,CONS-101684,BOD-02,OP-03
2024-07-01,MP-0272,salida,8.3,CONS-101691,BOD-01,OP-03
2024-07-01,MP-0010,salida,54.8,CONS-101698,BOD-03,OP-01
2024-07-01,MP-0002,salida,31.1,CONS-101705,BOD-01,OP-01
2024-07-01,MP-0150,salida,43.5,CONS-101712,BOD-02,OP-05
2024-07-01,MP-0085,salida,58.8,CONS-101719,BOD-01,OP-02
2024-07-01,MP-0153,salida,30.7,CONS-101733,BOD-03,OP-06
2024-07-01,MP-0178,salida,14.5,CONS-101740,BOD-02,OP-05
2024-07-01,MP-0229,salida,68.4,CONS-101747,BOD-01,OP-06
2024-07-01,MP-0013,salida,71.0,CONS-101754,BOD-03,OP-05
2024-07-01,MP-0020,salida,-68.6,CONS-101761,BOD-02,OP-04
2024-07-01,MP-0106,salida,46.7,CONS-101768,BOD-01,OP-02
2024-07-01,MP-0051,salida,144.1,CONS-101775,BOD-02,OP-06
2024-07-01,MP-0411,salida,70.4,CONS-101782,BOD-03,OP-03
2024-07-01,MP-0238,salida,66.3,CONS-101789,BOD-03,OP-01
2024-07-01,MP-0004,salida,53.9,CONS-101796,BOD-03,OP-04
2024-07-01,MP-0033,salida,47.7,CONS-101803,BOD-02,OP-03
2024-07-01,MP-0045,salida,30.2,CONS-101810,BOD-01,OP-05
2024-07-01,MP-0386,salida,66.9,CONS-101817,BOD-01,OP-03
2024-07-01,MP-0393,salida,21.5,CONS-101824,BOD-01,OP-05
2024-07-01,MP-0373,salida,125.5,CONS-101831,BOD-01,OP-03
2024-07-01,MP-0015,salida,26.0,CONS-101838,BOD-02,OP-03
2024-07-01,MP-0012,salida,39.3,CONS-101845,BOD-03,OP-06
2024-07-01,MP-0142,salida,39.5,CONS-101852,BOD-01,OP-01
2024-07-01,MP-0102,salida,48.2,CONS-101859,BOD-02,OP-06
2024-07-01,MP-0114,salida,11.5,CONS-101866,BOD-03,OP-05
2024-07-01,MP-0325,salida,31.0,CONS-101873,BOD-03,OP-03
2024-07-01,MP-0193,salida,27.9,CONS-101880,BOD-03,OP-01
2024-07-01,MP-0330,salida,12.9,CONS-101887,BOD-02,OP-01
2024-07-01,MP-0024,salida,103.7,CONS-101894,BOD-02,OP-05
2024-07-01,MP-0060,salida,31.8,CONS-101908,BOD-03,OP-02
2024-07-01,MP-0357,salida,39.1,CONS-101915,BOD-01,OP-02
2024-07-01,MP-0162,salida,6.0,CONS-101922,BOD-03,OP-06
2024-07-01,MP-0009,salida,43.4,CONS-101929,BOD-01,OP-05
2024-07-01,MP-0076,salida,60.0,CONS-101936,BOD-02,OP-06
2024-07-01,MP-0077,salida,63.2,CONS-101943,BOD-02,OP-06
2024-07-01,MP-0273,salida,67.4,CONS-101950,BOD-02,OP-01
2024-07-01,MP-0026,salida,69.0,CONS-101957,BOD-02,OP-01
2024-07-01,MP-0071,salida,84.1,CONS-101971,BOD-02,OP-04
2024-07-01,MP-0388,salida,81.0,CONS-101978,BOD-01,OP-03
2024-07-01,MP-0227,salida,48.6,CONS-101985,BOD-02,OP-06
2024-07-01,MP-0088,salida,-62.5,CONS-101992,BOD-02,OP-03
2024-07-01,MP-0143,salida,69.8,CONS-101999,BOD-03,OP-02
2024-07-01,MP-0181,salida,58.7,CONS-102006,BOD-01,OP-05
2024-07-01,MP-0385,salida,17.2,CONS-102013,BOD-02,OP-06
2024-07-01,MP-0321,salida,31.7,CONS-102020,BOD-02,OP-02
2024-07-01,MP-0343,salida,70.3,CONS-102027,BOD-03,OP-06
2024-07-01,MP-0036,salida,42.0,CONS-102034,BOD-03,OP-05
2024-07-01,MP-0080,salida,46.4,CONS-102041,BOD-01,OP-04
2024-07-01,MP-0139,salida,85.4,CONS-102048,BOD-01,OP-02
2024-07-01,MP-0356,salida,54.7,CONS-102055,BOD-01,OP-02
2024-07-01,MP-0339,salida,18.2,CONS-102062,BOD-03,OP-03
2024-07-01,MP-0078,salida,51.3,CONS-102069,BOD-02,OP-06
2024-07-01,MP-0059,salida,31.6,CONS-102076,BOD-03,OP-02
2024-07-01,MP-0211,salida,24.8,CONS-102083,BOD-03,OP-06
2024-07-01,MP-0340,salida,24.8,CONS-102090,BOD-02,OP-05
2024-07-01,MP-0390,salida,17.8,CONS-102097,BOD-01,OP-06
2024-07-01,MP-0039,salida,7.3,CONS-102111,BOD-01,OP-05
2024-07-01,MP-0032,salida,14.3,CONS-102118,BOD-01,OP-04
2024-07-01,MP-0129,salida,48.6,CONS-102125,BOD-03,OP-01
2024-07-01,MP-0217,salida,36.9,CONS-102139,BOD-02,OP-01
2024-07-01,MP-0344,salida,-61.2,CONS-102146,BOD-03,OP-06
2024-07-05,MP-0019,salida,57.2,CONS-101377,BOD-01,OP-03
2024-07-05,MP-0022,salida,69.8,CONS-101384,BOD-02,OP-06
2024-07-05,MP-0094,salida,27.1,CONS-101391,BOD-02,OP-01
2024-07-05,MP-0074,salida,28.1,CONS-101398,BOD-03,OP-06
2024-07-05,MP-0370,salida,9.1,CONS-101405,BOD-03,OP-02
2024-07-05,MP-0299,salida,35.2,CONS-101412,BOD-01,OP-02
2024-07-05,MP-0309,salida,31.9,CONS-101419,BOD-02,OP-06
2024-07-05,MP-0418,salida,29.6,CONS-101426,BOD-01,OP-03
2024-07-05,MP-0008,salida,122.8,CONS-101433,BOD-01,OP-02
2024-07-05,MP-0005,salida,95.7,CONS-101440,BOD-01,OP-01
2024-07-05,MP-0133,salida,-130.9,CONS-101447,BOD-02,OP-03
2024-07-05,MP-0101,salida,115.0,CONS-101454,BOD-03,OP-03
2024-07-05,MP-0149,salida,135.7,CONS-101461,BOD-02,OP-01
2024-07-05,MP-0189,salida,93.1,CONS-101468,BOD-02,OP-06
2024-07-05,MP-0254,salida,135.4,CONS-101475,BOD-01,OP-01
2024-07-05,MP-0161,salida,50.5,CONS-101482,BOD-02,OP-01
2024-07-05,MP-0037,salida,69.0,CONS-101496,BOD-02,OP-01
2024-07-05,MP-0018,salida,11.5,CONS-101503,BOD-02,OP-02
2024-07-05,MP-0137,salida,57.8,CONS-101510,BOD-02,OP-06
2024-07-05,MP-0073,salida,83.3,CONS-101517,BOD-03,OP-01
2024-07-05,MP-0118,salida,74.9,CONS-101524,BOD-02,OP-05
2024-07-05,MP-0199,salida,70.9,CONS-101531,BOD-03,OP-06
2024-07-05,MP-0232,salida,63.4,CONS-101538,BOD-01,OP-06
2024-07-05,MP-0027,salida,9.6,CONS-101545,BOD-03,OP-06
2024-07-05,MP-0116,salida,28.9,CONS-101552,BOD-03,OP-01
2024-07-05,MP-0108,salida,51.8,CONS-101559,BOD-02,OP-01
2024-07-05,MP-0293,salida,50.7,CONS-101566,BOD-03,OP-03
2024-07-05,MP-0239,salida,24.1,CONS-101573,BOD-02,OP-01
2024-07-05,MP-0016,salida,77.7,CONS-101580,BOD-03,OP-03
2024-07-05,MP-0030,salida,7.3,CONS-101587,BOD-02,OP-01
2024-07-05,MP-0043,salida,20.2,CONS-101601,BOD-02,OP-06
2024-07-05,MP-0182,salida,43.5,CONS-101608,BOD-02,OP-05
2024-07-05,MP-0369,salida,40.6,CONS-101615,BOD-02,OP-05
2024-07-05,MP-0157,salida,71.2,CONS-101622,BOD-03,OP-01
2024-07-05,MP-0014,salida,20.8,CONS-101636,BOD-01,OP-05
2024-07-05,MP-0128,salida,91.8,CONS-101643,BOD-03,OP-02
2024-07-05,MP-0047,salida,11.0,CONS-101650,BOD-02,OP-01
2024-07-05,MP-0122,salida,-50.8,CONS-101664,BOD-02,OP-04
2024-07-05,MP-0132,salida,84.3,CONS-101671,BOD-03,OP-01
2024-07-05,MP-0131,salida,31.2,CONS-101678,BOD-01,OP-02
2024-07-05,MP-0216,salida,65.1,CONS-101685,BOD-01,OP-01
2024-07-05,MP-0272,salida,8.3,CONS-101692,BOD-01,OP-05
2024-07-05,MP-0010,salida,54.8,CONS-101699,BOD-02,OP-04
2024-07-05,MP-0002,salida,31.1,CONS-101706,BOD-01,OP-05
2024-07-05,MP-0150,salida,43.5,CONS-101713,BOD-03,OP-01
2024-07-05,MP-0085,salida,58.8,CONS-101720,BOD-01,OP-03
2024-07-05,MP-0202,salida,66.8,CONS-101727,BOD-01,OP-04
2024-07-05,MP-0153,salida,30.7,CONS-101734,BOD-02,OP-03
2024-07-05,MP-0178,salida,14.5,CONS-101741,BOD-02,OP-02
2024-07-05,MP-0229,salida,68.4,CONS-101748,BOD-02,OP-05
2024-07-05,MP-0013,salida,71.0,CONS-101755,BOD-02,OP-06
2024-07-05,MP-0020,salida,68.6,CONS-101762,BOD-02,OP-04
2024-07-05,MP-0106,salida,46.7,CONS-101769,BOD-03,OP-04
2024-07-05,MP-0411,salida,70.4,CONS-101783,BOD-02,OP-06
2024-07-05,MP-0238,salida,66.3,CONS-101790,BOD-03,OP-03
2024-07-05,MP-0033,salida,47.7,CONS-101804,BOD-02,OP-02
2024-07-05,MP-0045,salida,30.2,CONS-101811,BOD-02,OP-05
2024-07-05,MP-0386,salida,66.9,CONS-101818,BOD-01,OP-01
2024-07-05,MP-0393,salida,21.5,CONS-101825,BOD-02,OP-01
2024-07-05,MP-0373,salida,125.5,CONS-101832,BOD-01,OP-04
2024-07-05,MP-0015,salida,26.0,CONS-101839,BOD-02,OP-04
2024-07-05,MP-0142,salida,39.5,CONS-101853,BOD-01,OP-03
2024-07-05,MP-0102,salida,48.2,CONS-101860,BOD-03,OP-02
2024-07-05,MP-0114,salida,11.5,CONS-101867,BOD-02,OP-03
2024-07-05,MP-0325,salida,31.0,CONS-101874,BOD-03,OP-03
2024-07-05,MP-0193,salida,27.9,CONS-101881,BOD-01,OP-03
2024-07-05,MP-0330,salida,12.9,CONS-101888,BOD-03,OP-05
2024-07-05,MP-0117,salida,35.5,CONS-101902,BOD-03,OP-04
2024-07-05,MP-0060,salida,31.8,CONS-101909,BOD-02,OP-03
2024-07-05,MP-0357,salida,39.1,CONS-101916,BOD-03,OP-05
2024-07-05,MP-0162,salida,6.0,CONS-101923,BOD-03,OP-06
2024-07-05,MP-0009,salida,43.4,CONS-101930,BOD-02,OP-05
2024-07-05,MP-0077,salida,63.2,CONS-101944,BOD-01,OP-04
2024-07-05,MP-0273,salida,67.4,CONS-101951,BOD-03,OP-05
2024-07-05,MP-0111,salida,106.0,CONS-101965,BOD-01,OP-03
2024-07-05,MP-0071,salida,84.1,CONS-101972,BOD-02,OP-01
2024-07-05,MP-0388,salida,81.0,CONS-101979,BOD-02,OP-04
2024-07-05,MP-0227,salida,48.6,CONS-101986,BOD-01,OP-03
2024-07-05,MP-0088,salida,62.5,CONS-101993,BOD-01,OP-05
2024-07-05,MP-0143,salida,69.8,CONS-102000,BOD-01,OP-04
2024-07-05,MP-0181,salida,58.7,CONS-102007,BOD-01,OP-03
2024-07-05,MP-0385,salida,17.2,CONS-102014,BOD-01,OP-05
2024-07-05,MP-0321,salida,-31.7,CONS-102021,BOD-02,OP-04
2024-07-05,MP-0343,salida,70.3,CONS-102028,BOD-02,OP-01
2024-07-05,MP-0036,salida,42.0,CONS-102035,BOD-03,OP-03
2024-07-05,MP-0080,salida,46.4,CONS-102042,BOD-01,OP-06
2024-07-05,MP-0139,salida,85.4,CONS-102049,BOD-02,OP-06
2024-07-05,MP-0356,salida,54.7,CONS-102056,BOD-02,OP-06
2024-07-05,MP-0339,salida,18.2,CONS-102063,BOD-03,OP-05
2024-07-05,MP-0078,salida,51.3,CONS-102070,BOD-03,OP-03
2024-07-05,MP-0059,salida,31.6,CONS-102077,BOD-01,OP-04
2024-07-05,MP-0340,salida,24.8,CONS-102091,BOD-02,OP-01
2024-07-05,MP-0268,salida,16.3,CONS-102105,BOD-01,OP-05
2024-07-05,MP-0039,salida,7.3,CONS-102112,BOD-03,OP-01
2024-07-05,MP-0032,salida,14.3,CONS-102119,BOD-01,OP-01
2024-07-05,MP-0136,salida,41.8,CONS-102133,BOD-01,OP-06
2024-07-05,MP-0217,salida,36.9,CONS-102140,BOD-03,OP-06
2024-07-05,MP-0344,salida,61.2,CONS-102147,BOD-03,OP-06
2024-07-05,MP-0320,ajuste,38,AJU-120083,BOD-02,AUDIT
2024-07-07,MP-0114,ajuste,-4,AJU-120074,BOD-03,AUDIT
2024-07-08,MP-0310,ajuste,-35,AJU-120039,BOD-03,AUDIT
2024-07-09,MP-0019,salida,57.2,CONS-101378,BOD-01,OP-05
2024-07-09,MP-0022,salida,69.8,CONS-101385,BOD-01,OP-01
2024-07-09,MP-0094,salida,27.1,CONS-101392,BOD-03,OP-04
2024-07-09,MP-0370,salida,9.1,CONS-101406,BOD-02,OP-04
2024-07-09,MP-0299,salida,35.2,CONS-101413,BOD-02,OP-02
2024-07-09,MP-0309,salida,31.9,CONS-101420,BOD-02,OP-06
2024-07-09,MP-0418,salida,29.6,CONS-101427,BOD-02,OP-01
2024-07-09,MP-0008,salida,122.8,CONS-101434,BOD-03,OP-02
2024-07-09,MP-0005,salida,95.7,CONS-101441,BOD-01,OP-02
2024-07-09,MP-0133,salida,130.9,CONS-101448,BOD-01,OP-05
2024-07-09,MP-0101,salida,115.0,CONS-101455,BOD-03,OP-02
2024-07-09,MP-0149,salida,135.7,CONS-101462,BOD-03,OP-01
2024-07-09,MP-0189,salida,93.1,CONS-101469,BOD-01,OP-01
2024-07-09,MP-0254,salida,135.4,CONS-101476,BOD-02,OP-02
2024-07-09,MP-0197,salida,122.5,CONS-101490,BOD-01,OP-01
2024-07-09,MP-0037,salida,69.0,CONS-101497,BOD-02,OP-01
2024-07-09,MP-0137,salida,57.8,CONS-101511,BOD-01,OP-05
2024-07-09,MP-0073,salida,83.3,CONS-101518,BOD-01,OP-03
2024-07-09,MP-0118,salida,74.9,CONS-101525,BOD-03,OP-05
2024-07-09,MP-0232,salida,63.4,CONS-101539,BOD-02,OP-05
2024-07-09,MP-0027,salida,9.6,CONS-101546,BOD-01,OP-04
2024-07-09,MP-0116,salida,28.9,CONS-101553,BOD-03,OP-06
2024-07-09,MP-0108,salida,51.8,CONS-101560,BOD-03,OP-05
2024-07-09,MP-0293,salida,50.7,CONS-101567,BOD-02,OP-06
2024-07-09,MP-0239,salida,24.1,CONS-101574,BOD-03,OP-05
2024-07-09,MP-0016,salida,77.7,CONS-101581,BOD-03,OP-05
2024-07-09,MP-0030,salida,7.3,CONS-101588,BOD-01,OP-01
2024-07-09,MP-0043,salida,20.2,CONS-101602,BOD-03,OP-02
2024-07-09,MP-0182,salida,43.5,CONS-101609,BOD-03,OP-05
2024-07-09,MP-0369,salida,40.6,CONS-101616,BOD-01,OP-03
2024-07-09,MP-0157,salida,71.2,CONS-101623,BOD-03,OP-04
2024-07-09,MP-0001,salida,25.6,CONS-101630,BOD-03,OP-03
2024-07-09,MP-0014,salida,20.8,CONS-101637,BOD-01,OP-05
2024-07-09,MP-0128,salida,91.8,CONS-101644,BOD-03,OP-02
2024-07-09,MP-0047,salida,11.0,CONS-101651,BOD-01,OP-05
2024-07-09,MP-0244,salida,12.4,CONS-101658,BOD-03,OP-01
2024-07-09,MP-0122,salida,50.8,CONS-101665,BOD-03,OP-01
2024-07-09,MP-0132,salida,84.3,CONS-101672,BOD-03,OP-06
2024-07-09,MP-0131,salida,31.2,CONS-101679,BOD-02,OP-04
2024-07-09,MP-0216,salida,65.1,CONS-101686,BOD-03,OP-04
2024-07-09,MP-0272,salida,8.3,CONS-101693,BOD-03,OP-05
2024-07-09,MP-0010,salida,54.8,CONS-101700,BOD-03,OP-01
2024-07-09,MP-0150,salida,43.5,CONS-101714,BOD-01,OP-01
2024-07-09,MP-0085,salida,58.8,CONS-101721,BOD-01,OP-01
2024-07-09,MP-0202,salida,66.8,CONS-101728,BOD-02,OP-03
2024-07-09,MP-0153,salida,30.7,CONS-101735,BOD-03,OP-02
2024-07-09,MP-0178,salida,14.5,CONS-101742,BOD-02,OP-05
2024-07-09,MP-0013,salida,71.0,CONS-101756,BOD-02,OP-06
2024-07-09,MP-0020,salida,68.6,CONS-101763,BOD-03,OP-01
2024-07-09,MP-0106,salida,46.7,CONS-101770,BOD-02,OP-02
2024-07-09,MP-0051,salida,144.1,CONS-101777,BOD-02,OP-02
2024-07-09,MP-0411,salida,70.4,CONS-101784,BOD-02,OP-04
2024-07-09,MP-0238,salida,66.3,CONS-101791,BOD-01,OP-06
2024-07-09,MP-0004,salida,53.9,CONS-101798,BOD-01,OP-05
2024-07-09,MP-0033,salida,47.7,CONS-101805,BOD-01,OP-06
2024-07-09,MP-0045,salida,30.2,CONS-101812,BOD-03,OP-05
2024-07-09,MP-0393,salida,21.5,CONS-101826,BOD-02,OP-01
2024-07-09,MP-0373,salida,125.5,CONS-101833,BOD-03,OP-01
2024-07-09,MP-0015,salida,26.0,CONS-101840,BOD-02,OP-02
2024-07-09,MP-0012,salida,39.3,CONS-101847,BOD-01,OP-04
2024-07-09,MP-0142,salida,39.5,CONS-101854,BOD-03,OP-02
2024-07-09,MP-0102,salida,48.2,CONS-101861,BOD-01,OP-02
2024-07-09,MP-0114,salida,11.5,CONS-101868,BOD-01,OP-03
2024-07-09,MP-0325,salida,31.0,CONS-101875,BOD-01,OP-04
2024-07-09,MP-0193,salida,27.9,CONS-101882,BOD-01,OP-01
2024-07-09,MP-0330,salida,12.9,CONS-101889,BOD-02,OP-02
2024-07-09,MP-0024,salida,103.7,CONS-101896,BOD-03,OP-02
2024-07-09,MP-0117,salida,35.5,CONS-101903,BOD-01,OP-04
2024-07-09,MP-0060,salida,31.8,CONS-101910,BOD-02,OP-04
2024-07-09,MP-0357,salida,39.1,CONS-101917,BOD-03,OP-06
2024-07-09,MP-0162,salida,6.0,CONS-101924,BOD-01,OP-04
2024-07-09,MP-0009,salida,43.4,CONS-101931,BOD-01,OP-04
2024-07-09,MP-0076,salida,60.0,CONS-101938,BOD-02,OP-04
2024-07-09,MP-0077,salida,63.2,CONS-101945,BOD-02,OP-06
2024-07-09,MP-0273,salida,67.4,CONS-101952,BOD-01,OP-03
2024-07-09,MP-0026,salida,69.0,CONS-101959,BOD-03,OP-04
2024-07-09,MP-0111,salida,106.0,CONS-101966,BOD-02,OP-01
2024-07-09,MP-0071,salida,84.1,CONS-101973,BOD-02,OP-06
2024-07-09,MP-0388,salida,81.0,CONS-101980,BOD-02,OP-01
2024-07-09,MP-0227,salida,48.6,CONS-101987,BOD-01,OP-04
2024-07-09,MP-0088,salida,62.5,CONS-101994,BOD-01,OP-01
2024-07-09,MP-0143,salida,69.8,CONS-102001,BOD-02,OP-06
2024-07-09,MP-0181,salida,58.7,CONS-102008,BOD-01,OP-06
2024-07-09,MP-0385,salida,17.2,CONS-102015,BOD-01,OP-04
2024-07-09,MP-0321,salida,31.7,CONS-102022,BOD-02,OP-06
2024-07-09,MP-0343,salida,70.3,CONS-102029,BOD-03,OP-06
2024-07-09,MP-0036,salida,42.0,CONS-102036,BOD-03,OP-01
2024-07-09,MP-0080,salida,46.4,CONS-102043,BOD-01,OP-02
2024-07-09,MP-0139,salida,85.4,CONS-102050,BOD-03,OP-05
2024-07-09,MP-0356,salida,54.7,CONS-102057,BOD-02,OP-04
2024-07-09,MP-0339,salida,18.2,CONS-102064,BOD-01,OP-05
2024-07-09,MP-0078,salida,51.3,CONS-102071,BOD-03,OP-04
2024-07-09,MP-0059,salida,31.6,CONS-102078,BOD-01,OP-06
2024-07-09,MP-0211,salida,24.8,CONS-102085,BOD-03,OP-01
2024-07-09,MP-0340,salida,24.8,CONS-102092,BOD-03,OP-03
2024-07-09,MP-0390,salida,17.8,CONS-102099,BOD-02,OP-03
2024-07-09,MP-0268,salida,16.3,CONS-102106,BOD-03,OP-06
2024-07-09,MP-0039,salida,7.3,CONS-102113,BOD-01,OP-06
2024-07-09,MP-0032,salida,14.3,CONS-102120,BOD-02,OP-05
2024-07-09,MP-0129,salida,48.6,CONS-102127,BOD-03,OP-05
2024-07-09,MP-0136,salida,41.8,CONS-102134,BOD-01,OP-02
2024-07-09,MP-0217,salida,36.9,CONS-102141,BOD-03,OP-04
2024-07-09,MP-0344,salida,61.2,CONS-102148,BOD-01,OP-04
2024-07-10,MP-0036,entrada,457,REC-OC-5539,BOD-01,OP-01
2024-07-12,MP-0089,entrada,298,REC-OC-5848,BOD-02,OP-06
2024-07-13,MP-0030,entrada,2153,REC-OC-5418,BOD-03,OP-03
2024-07-13,MP-0019,salida,57.2,CONS-101379,BOD-02,OP-03
2024-07-13,MP-0022,salida,69.8,CONS-101386,BOD-03,OP-06
2024-07-13,MP-0094,salida,27.1,CONS-101393,BOD-01,OP-06
2024-07-13,MP-0074,salida,28.1,CONS-101400,BOD-01,OP-06
2024-07-13,MP-0370,salida,9.1,CONS-101407,BOD-02,OP-03
2024-07-13,MP-0309,salida,31.9,CONS-101421,BOD-01,OP-01
2024-07-13,MP-0418,salida,29.6,CONS-101428,BOD-02,OP-05
2024-07-13,MP-0008,salida,122.8,CONS-101435,BOD-02,OP-06
2024-07-13,MP-0005,salida,95.7,CONS-101442,BOD-03,OP-01
2024-07-13,MP-0133,salida,130.9,CONS-101449,BOD-02,OP-04
2024-07-13,MP-0101,salida,115.0,CONS-101456,BOD-01,OP-04
2024-07-13,MP-0149,salida,135.7,CONS-101463,BOD-03,OP-05
2024-07-13,MP-0189,salida,93.1,CONS-101470,BOD-01,OP-01
2024-07-13,MP-0254,salida,135.4,CONS-101477,BOD-03,OP-03
2024-07-13,MP-0161,salida,50.5,CONS-101484,BOD-01,OP-01
2024-07-13,MP-0197,salida,122.5,CONS-101491,BOD-03,OP-01
2024-07-13,MP-0037,salida,69.0,CONS-101498,BOD-03,OP-05
2024-07-13,MP-0018,salida,11.5,CONS-101505,BOD-01,OP-02
2024-07-13,MP-0137,salida,57.8,CONS-101512,BOD-02,OP-06
2024-07-13,MP-0073,salida,83.3,CONS-101519,BOD-02,OP-01
2024-07-13,MP-0118,salida,74.9,CONS-101526,BOD-03,OP-01
2024-07-13,MP-0199,salida,-70.9,CONS-101533,BOD-03,OP-03
2024-07-13,MP-0232,salida,63.4,CONS-101540,BOD-02,OP-01
2024-07-13,MP-0027,salida,9.6,CONS-101547,BOD-03,OP-01
2024-07-13,MP-0116,salida,28.9,CONS-101554,BOD-02,OP-04
2024-07-13,MP-0108,salida,51.8,CONS-101561,BOD-02,OP-06
2024-07-13,MP-0239,salida,24.1,CONS-101575,BOD-03,OP-05
2024-07-13,MP-0016,salida,77.7,CONS-101582,BOD-03,OP-02
2024-07-13,MP-0030,salida,7.3,CONS-101589,BOD-02,OP-04
2024-07-13,MP-0120,salida,34.9,CONS-101596,BOD-01,OP-01
2024-07-13,MP-0043,salida,20.2,CONS-101603,BOD-03,OP-01
2024-07-13,MP-0182,salida,43.5,CONS-101610,BOD-01,OP-02
2024-07-13,MP-0369,salida,40.6,CONS-101617,BOD-02,OP-02
2024-07-13,MP-0157,salida,71.2,CONS-101624,BOD-01,OP-04
2024-07-13,MP-0001,salida,25.6,CONS-101631,BOD-01,OP-05
2024-07-13,MP-0014,salida,20.8,CONS-101638,BOD-03,OP-01
2024-07-13,MP-0128,salida,91.8,CONS-101645,BOD-03,OP-05
2024-07-13,MP-0047,salida,11.0,CONS-101652,BOD-03,OP-01
2024-07-13,MP-0244,salida,12.4,CONS-101659,BOD-01,OP-02
2024-07-13,MP-0122,salida,50.8,CONS-101666,BOD-03,OP-02
2024-07-13,MP-0132,salida,84.3,CONS-101673,BOD-02,OP-02
2024-07-13,MP-0131,salida,31.2,CONS-101680,BOD-03,OP-04
2024-07-13,MP-0216,salida,65.1,CONS-101687,BOD-03,OP-04
2024-07-13,MP-0272,salida,8.3,CONS-101694,BOD-01,OP-02
2024-07-13,MP-0010,salida,54.8,CONS-101701,BOD-03,OP-01
2024-07-13,MP-0002,salida,31.1,CONS-101708,BOD-01,OP-01
2024-07-13,MP-0150,salida,43.5,CONS-101715,BOD-03,OP-05
2024-07-13,MP-0085,salida,58.8,CONS-101722,BOD-01,OP-06
2024-07-13,MP-0202,salida,66.8,CONS-101729,BOD-03,OP-02
2024-07-13,MP-0153,salida,30.7,CONS-101736,BOD-03,OP-02
2024-07-13,MP-0229,salida,68.4,CONS-101750,BOD-03,OP-06
2024-07-13,MP-0013,salida,71.0,CONS-101757,BOD-01,OP-04
2024-07-13,MP-0020,salida,68.6,CONS-101764,BOD-01,OP-01
2024-07-13,MP-0106,salida,46.7,CONS-101771,BOD-01,OP-04
2024-07-13,MP-0051,salida,144.1,CONS-101778,BOD-01,OP-05
2024-07-13,MP-0411,salida,70.4,CONS-101785,BOD-02,OP-01
2024-07-13,MP-0238,salida,66.3,CONS-101792,BOD-03,OP-02
