orden_compra,fecha_pedido,sku,cantidad,proveedor,fecha_promesa,fecha_recepcion,costo_unitario
OC-6234,2025-11-16,MP-0192,35,PROV-01,2025-11-26,2025-12-04,10044
OC-5640,2024-11-14,MP-0048,367,PROV-07,2024-11-22,2024-12-06,15566
OC-5657,2026-06-02,MP-0051,424,PROV-15,2026-06-16,2026-06-30,68499
OC-5389,2026-04-08,MP-0028,937,PROV-06,2026-04-27,2026-05-12,367530
OC-5991,2024-09-29,MP-0116,169,PROV-09,2024-10-08,2024-10-17,49643
OC-5998,2024-09-27,MP-0118,282,PROV-09,2024-10-02,2024-10-08,71465
OC-5869,2025-08-30,MP-0093,371,PROV-20,2025-09-06,2025-09-13,67888
OC-6357,2025-07-30,MP-0312,3,PROV-09,2025-08-11,2025-08-26,7466
OC-6252,2024-12-02,MP-0210,59,PROV-03,2024-12-10,2024-12-08,7603
OC-5907,2026-01-16,MP-0099,377,PROV-17,2026-01-22,,42946
OC-5682,2025-11-11,MP-0056,219,PROV-35,2025-11-18,2025-11-21,18750
OC-6216,2026-05-02,MP-0175,53,PROV-12,2026-05-16,2026-05-20,7539
OC-5895,2026-04-06,MP-0098,280,PROV-18,2026-04-11,2026-04-17,16242
OC-6308,2024-12-11,MP-0264,92,PROV-35,2024-12-17,,13222
OC-6134,2026-02-08,MP-0141,343,PROV-32,2026-02-14,2026-02-22,20387
OC-6364,2025-09-24,MP-0317,54,PROV-32,2025-10-02,2025-10-12,6640
OC-6342,2025-03-26,MP-0297,23,PROV-02,2025-04-03,2025-04-20,7673
OC-6078,2026-03-06,MP-0131,395,PROV-35,2026-03-15,2026-03-20,37576
OC-5003,2025-05-01,MP-0001,380,PROV-02,2025-05-12,2025-05-28,299035
OC-5185,2025-01-24,MP-0014,1136,PROV-26,2025-02-02,2025-02-14,234603
OC-6353,2025-11-09,MP-0308,86,PROV-34,2025-11-15,2025-11-27,8450
OC-5848,2024-07-01,MP-0089,298,PROV-14,2024-07-10,2024-07-12,56054
OC-6223,2025-12-28,MP-0181,47,PROV-10,2026-01-03,2026-01-06,3549
OC-5486,2024-10-10,MP-0033,1776,PROV-15,2024-10-26,2024-11-01,157770
OC-6183,2025-03-04,MP-0149,224,PROV-34,2025-03-09,2025-03-15,32103
OC-6186,2024-10-22,MP-0149,206,PROV-34,2024-10-27,2024-10-30,32103
OC-5449,2025-10-03,MP-0032,1953,PROV-03,2025-10-15,2025-10-22,196328
OC-5781,2026-04-25,MP-0077,374,PROV-34,2026-05-12,,66191
OC-5879,2024-11-07,MP-0094,382,PROV-11,2024-11-19,2024-12-01,40900
OC-5173,2025-03-10,MP-0013,1422,PROV-06,2025-03-28,2025-04-22,361794
OC-6181,2026-02-24,MP-0148,121,PROV-15,2026-03-07,2026-03-12,74617
OC-6405,2026-06-11,MP-0356,14,PROV-30,2026-06-23,2026-07-03,9738
OC-5882,2025-08-04,MP-0095,305,PROV-08,2025-08-12,,49436
OC-5126,2025-04-21,MP-0010,1473,PROV-24,2025-05-11,2025-05-20,244981
OC-5401,2026-05-05,MP-0029,1127,PROV-04,2026-05-19,2026-06-04,310652
OC-6022,2024-07-08,MP-0122,86,PROV-14,2024-07-13,2024-07-15,31481
OC-5004,2026-01-14,MP-0001,485,PROV-02,2026-01-25,2026-02-13,299035
OC-5658,2025-01-05,MP-0051,387,PROV-15,2025-01-19,2025-01-26,68499
OC-6185,2026-02-03,MP-0149,179,PROV-34,2026-02-08,2026-02-11,32103
OC-5921,2026-04-11,MP-0101,203,PROV-16,2026-04-18,2026-04-19,70351
OC-5738,2026-04-03,MP-0067,377,PROV-04,2026-04-14,2026-04-29,65561
OC-5163,2024-11-13,MP-0012,915,PROV-29,2024-11-27,,260365
OC-6365,2025-11-13,MP-0318,101,PROV-34,2025-11-19,2025-11-22,13277
OC-5768,2025-09-02,MP-0074,272,PROV-01,2025-09-08,2025-09-14,57757
OC-5145,2025-06-23,MP-0011,1312,PROV-17,2025-07-13,2025-08-07,356026
OC-5676,2025-07-21,MP-0055,240,PROV-02,2025-08-03,2025-08-17,43990
OC-5418,2024-07-03,MP-0030,2153,PROV-27,2024-07-19,2024-07-13,284982
OC-6333,2025-10-03,MP-0288,17,PROV-13,2025-10-11,2025-10-22,3660
OC-6461,2025-12-01,MP-0410,19,PROV-21,2025-12-14,2025-12-25,4345
OC-6040,2024-11-20,MP-0125,290,PROV-12,2024-11-26,2024-11-28,76778
OC-5746,2025-06-02,MP-0069,514,PROV-16,2025-06-14,2025-07-06,44153
OC-5131,2026-06-12,MP-0010,1961,PROV-24,2026-07-02,2026-07-26,244981
OC-5005,2026-01-21,MP-0001,498,PROV-02,2026-02-01,2026-02-16,299035
OC-5305,2025-08-12,MP-0022,961,PROV-07,2025-08-25,2025-09-11,173118
OC-6170,2025-11-21,MP-0147,480,PROV-28,2025-12-01,2025-12-03,48242
OC-6421,2026-06-16,MP-0372,49,PROV-02,2026-06-23,2026-07-07,7801
OC-6070,2024-12-21,MP-0130,467,PROV-11,2024-12-31,2025-01-06,74019
OC-5884,2026-01-02,MP-0095,310,PROV-08,2026-01-10,2026-01-17,49436
OC-5527,2025-05-13,MP-0035,1226,PROV-34,2025-05-30,2025-06-23,391712
OC-5337,2024-11-19,MP-0024,1382,PROV-31,2024-12-09,2024-12-18,223650
OC-6399,2024-08-13,MP-0350,26,PROV-11,2024-08-22,2024-08-24,7054
OC-5985,2025-11-07,MP-0115,234,PROV-18,2025-11-16,2025-11-28,26639
OC-5091,2026-01-02,MP-0008,905,PROV-20,2026-01-22,2026-02-06,310890
OC-5584,2026-05-06,MP-0040,1410,PROV-31,2026-05-23,2026-06-06,143609
OC-5448,2025-03-23,MP-0032,1783,PROV-03,2025-04-04,2025-04-14,196328
OC-6330,2025-12-24,MP-0286,80,PROV-06,2025-12-31,2026-01-02,8518
OC-5492,2025-06-22,MP-0033,1205,PROV-15,2025-07-08,2025-07-17,157770
OC-5655,2025-01-30,MP-0051,376,PROV-15,2025-02-13,2025-02-12,68499
OC-5772,2024-10-12,MP-0074,313,PROV-01,2024-10-18,2024-10-22,57757
OC-6340,2024-11-05,MP-0295,40,PROV-12,2024-11-14,2024-11-21,12068
OC-5501,2024-10-08,MP-0034,1400,PROV-03,2024-10-26,,318023
OC-5654,2024-08-22,MP-0050,541,PROV-26,2024-08-28,2024-09-07,63500
OC-5303,2024-10-21,MP-0022,1433,PROV-07,2024-11-03,2024-11-17,173118
OC-5648,2026-05-03,MP-0050,586,PROV-26,2026-05-09,2026-05-14,63500
OC-5730,2026-02-18,MP-0065,245,PROV-13,2026-03-01,2026-03-11,35988
OC-5713,2024-10-02,MP-0061,222,PROV-23,2024-10-13,2024-10-22,53880
OC-6228,2026-02-09,MP-0186,48,PROV-08,2026-02-25,2026-03-06,14860
OC-5454,2026-02-09,MP-0032,1585,PROV-03,2026-02-21,2026-02-28,196328
OC-5681,2026-06-04,MP-0056,269,PROV-35,2026-06-11,,18750
OC-6162,2025-03-10,MP-0146,297,PROV-33,2025-03-16,2025-03-17,31220
OC-5633,2025-03-30,MP-0047,268,PROV-34,2025-04-11,2025-04-26,60848
OC-6198,2024-10-09,MP-0158,63,PROV-21,2024-10-19,2024-10-23,9120
OC-5941,2025-05-08,MP-0103,333,PROV-09,2025-05-16,2025-05-19,50643
OC-5799,2025-06-30,MP-0081,239,PROV-04,2025-07-10,2025-07-15,29017
OC-6292,2026-03-15,MP-0249,84,PROV-29,2026-04-01,2026-04-22,13337
OC-5226,2025-02-03,MP-0017,1684,PROV-32,2025-02-25,2025-03-09,165823
OC-6441,2026-05-06,MP-0391,44,PROV-06,2026-05-21,,8995
OC-5447,2026-05-05,MP-0032,1658,PROV-03,2026-05-17,2026-05-20,196328
OC-6243,2026-06-23,MP-0201,67,PROV-31,2026-07-04,2026-07-23,13444
OC-6454,2025-01-28,MP-0403,78,PROV-32,2025-02-04,2025-02-13,7247
OC-6020,2025-06-29,MP-0121,496,PROV-16,2025-07-08,2025-07-10,50877
OC-6253,2025-06-20,MP-0211,36,PROV-35,2025-07-06,2025-07-17,5707
OC-5686,2024-07-19,MP-0057,336,PROV-02,2024-07-27,2024-08-06,65040
OC-5739,2025-02-16,MP-0067,401,PROV-04,2025-02-27,,65561
OC-5677,2025-03-06,MP-0055,382,PROV-02,2025-03-19,2025-03-27,43990
OC-6038,2025-10-14,MP-0125,420,PROV-12,2025-10-20,2025-10-24,76778
OC-5798,2026-06-05,MP-0081,274,PROV-04,2026-06-15,2026-06-27,29017
OC-5051,2026-04-27,MP-0004,1017,PROV-20,2026-05-09,2026-05-26,385136
OC-5363,2026-05-23,MP-0026,1134,PROV-28,2026-06-03,2026-06-20,393154
OC-5981,2025-08-10,MP-0114,283,PROV-10,2025-08-17,2025-08-23,34343
OC-5362,2025-07-30,MP-0026,753,PROV-28,2025-08-10,2025-08-18,393154
OC-5959,2025-05-01,MP-0108,318,PROV-06,2025-05-13,2025-05-21,25925
OC-5644,2024-12-28,MP-0050,336,PROV-26,2025-01-03,2025-01-16,63500
OC-6048,2026-02-06,MP-0127,184,PROV-19,2026-02-14,2026-02-23,17887
OC-6095,2025-02-13,MP-0134,216,PROV-25,2025-02-25,2025-02-27,64521
OC-5406,2025-01-29,MP-0029,1139,PROV-04,2025-02-12,2025-03-01,310652
OC-5856,2025-11-29,MP-0090,335,PROV-02,2025-12-11,2025-12-19,48252
OC-5168,2025-04-27,MP-0013,1014,PROV-06,2025-05-15,2025-05-27,361794
OC-6116,2025-02-05,MP-0137,402,PROV-09,2025-02-11,2025-02-15,39144
OC-6296,2025-03-16,MP-0253,28,PROV-29,2025-03-26,2025-04-02,9356
OC-5961,2025-03-03,MP-0109,225,PROV-19,2025-03-14,2025-03-19,60010
OC-6120,2025-11-11,MP-0138,352,PROV-21,2025-11-20,2025-12-01,68215
OC-6174,2025-07-12,MP-0147,410,PROV-28,2025-07-22,2025-07-23,48242
OC-6225,2024-10-17,MP-0183,15,PROV-20,2024-11-01,2024-11-14,12482
OC-5405,2024-09-24,MP-0029,1606,PROV-04,2024-10-08,2024-10-18,310652
OC-5583,2025-07-31,MP-0040,1703,PROV-31,2025-08-17,2025-08-25,143609
OC-6354,2025-11-01,MP-0309,3,PROV-29,2025-11-12,,6190
OC-5050,2025-07-24,MP-0004,799,PROV-20,2025-08-05,2025-08-24,385136
OC-5380,2025-09-27,MP-0027,570,PROV-27,2025-10-13,2025-11-04,179174
OC-6281,2024-08-31,MP-0238,70,PROV-15,2024-09-06,2024-09-10,12403
OC-5782,2024-10-11,MP-0077,545,PROV-34,2024-10-28,2024-10-27,66191
OC-5479,2025-04-27,MP-0033,2141,PROV-15,2025-05-13,2025-05-23,157770
OC-5757,2024-11-10,MP-0071,281,PROV-18,2024-11-20,2024-12-18,64609
OC-5417,2025-12-21,MP-0030,1832,PROV-27,2026-01-06,2026-01-06,284982
OC-5982,2024-09-14,MP-0114,245,PROV-10,2024-09-21,2024-09-24,34343
OC-5934,2026-06-25,MP-0103,330,PROV-09,2026-07-03,2026-07-05,50643
OC-5465,2024-08-02,MP-0032,1431,PROV-03,2024-08-14,2024-08-25,196328
OC-5322,2025-02-23,MP-0023,1356,PROV-26,2025-03-11,2025-03-18,120113
OC-6122,2026-01-23,MP-0138,262,PROV-21,2026-02-01,2026-02-09,68215
OC-6283,2025-01-07,MP-0240,18,PROV-07,2025-01-17,2025-01-23,6284
OC-5397,2025-11-09,MP-0029,911,PROV-04,2025-11-23,2025-11-30,310652
OC-6275,2025-05-05,MP-0232,46,PROV-02,2025-05-13,,8859
OC-5263,2025-06-17,MP-0019,546,PROV-31,2025-07-04,2025-07-08,81958
OC-6448,2025-05-08,MP-0398,43,PROV-25,2025-05-19,,653
OC-5752,2025-01-28,MP-0070,207,PROV-16,2025-02-06,2025-02-16,57954
OC-5081,2024-07-24,MP-0007,893,PROV-01,2024-08-10,2024-08-25,313781
OC-6467,2025-02-28,MP-0416,49,PROV-31,2025-03-13,2025-03-30,13658
OC-6334,2025-05-26,MP-0289,30,PROV-30,2025-06-08,2025-06-12,10185
OC-5217,2026-01-18,MP-0016,1104,PROV-30,2026-02-02,2026-02-15,142723
OC-6065,2026-06-06,MP-0129,477,PROV-18,2026-06-18,2026-07-10,38308
OC-6109,2026-01-10,MP-0136,212,PROV-03,2026-01-26,2026-01-25,50144
OC-5040,2025-11-26,MP-0004,883,PROV-20,2025-12-08,2025-12-12,385136
OC-6422,2025-11-23,MP-0373,57,PROV-03,2025-12-03,2025-12-15,13149
OC-5105,2026-03-13,MP-0009,1503,PROV-10,2026-03-31,,256746
OC-6150,2026-01-19,MP-0144,191,PROV-02,2026-01-29,2026-02-12,49362
OC-5109,2025-08-12,MP-0009,1233,PROV-10,2025-08-30,2025-09-27,256746
OC-5611,2025-10-14,MP-0044,355,PROV-06,2025-10-19,2025-10-20,64011
OC-5898,2025-08-29,MP-0098,276,PROV-18,2025-09-03,2035-09-11,16242
OC-5289,2025-04-13,MP-0021,708,PROV-03,2025-04-26,2025-05-09,188399
OC-5789,2025-12-24,MP-0079,121,PROV-27,2026-01-08,2026-01-25,61211
OC-6404,2025-06-26,MP-0355,37,PROV-05,2025-07-01,,13636
OC-5467,2025-04-30,MP-0032,1754,PROV-03,2025-05-12,2025-05-29,196328
OC-6412,2025-04-24,MP-0363,47,PROV-05,2025-05-09,2025-05-15,8678
OC-5965,2025-10-01,MP-0110,210,PROV-26,2025-10-09,2025-10-10,70066
OC-5056,2026-02-07,MP-0005,1067,PROV-15,2026-02-21,2026-02-27,141286
OC-5119,2026-05-18,MP-0010,2140,PROV-24,2026-06-07,2026-07-03,244981
OC-6155,2025-05-24,MP-0145,295,PROV-30,2025-05-31,2035-06-01,22774
OC-5498,2024-10-10,MP-0034,1617,PROV-03,2024-10-28,2024-12-01,318023
OC-6146,2025-05-10,MP-0143,128,PROV-10,2025-05-21,2025-05-27,78410
OC-6470,2025-05-27,MP-0419,25,PROV-34,2025-06-05,2025-06-11,10429
OC-5587,2025-08-20,MP-0040,1591,PROV-31,2025-09-06,2025-09-18,143609
OC-6125,2026-02-12,MP-0138,212,PROV-21,2026-02-21,2026-03-04,68215
OC-5574,2026-01-21,MP-0040,1825,PROV-31,2026-02-07,2026-02-17,143609
OC-5325,2025-02-24,MP-0023,2052,PROV-26,2025-03-12,2025-04-01,120113
OC-5551,2025-11-09,MP-0038,630,PROV-32,2025-11-27,2025-11-26,307900
OC-6398,2025-02-11,MP-0349,18,PROV-27,2025-02-23,2025-03-08,3496
OC-6462,2026-01-27,MP-0411,34,PROV-03,2026-02-10,2026-02-24,2329
OC-6158,2024-12-25,MP-0145,372,PROV-30,2025-01-01,,22774
OC-6218,2025-07-27,MP-0176,70,PROV-23,2025-08-01,2025-08-03,579
OC-5601,2026-01-13,MP-0043,189,PROV-31,2026-01-24,2026-01-27,79081
OC-6202,2024-09-13,MP-0162,19,PROV-09,2024-09-25,2024-10-01,6439
OC-5308,2025-10-26,MP-0022,1020,PROV-07,2025-11-08,2025-11-22,173118
OC-5610,2025-02-11,MP-0044,442,PROV-06,2025-02-16,2025-02-15,64011
OC-5736,2026-04-01,MP-0067,340,PROV-04,2026-04-12,2026-04-15,65561
OC-5383,2025-01-07,MP-0028,969,PROV-06,2025-01-26,2025-02-18,367530
OC-5957,2025-02-12,MP-0108,220,PROV-06,2025-02-24,2025-03-07,25925
OC-6027,2025-07-26,MP-0123,275,PROV-26,2025-08-10,2025-08-17,29806
OC-6235,2025-02-21,MP-0193,20,PROV-32,2025-03-03,2025-03-06,2415
OC-5160,2025-08-03,MP-0012,893,PROV-29,2025-08-17,2025-09-02,260365
OC-5361,2026-01-25,MP-0026,941,PROV-28,2026-02-05,2026-02-16,393154
OC-6066,2025-03-01,MP-0129,412,PROV-18,2025-03-13,2025-03-28,38308
OC-6359,2025-05-30,MP-0313,93,PROV-07,2025-06-06,2025-06-14,12338
OC-5140,2024-12-23,MP-0011,1088,PROV-17,2025-01-12,2025-01-25,356026
OC-5260,2024-10-24,MP-0018,1101,PROV-07,2024-11-04,2024-11-15,91904
OC-6161,2024-08-27,MP-0146,310,PROV-33,2024-09-02,2024-09-11,31220
OC-5672,2026-02-12,MP-0054,283,PROV-35,2026-02-18,2026-02-27,52942
OC-5230,2025-03-01,MP-0017,2180,PROV-32,2025-03-23,2025-04-15,165823
OC-5817,2025-03-18,MP-0084,500,PROV-34,2025-03-25,2025-04-01,26907
OC-5216,2026-06-19,MP-0016,1240,PROV-30,2026-07-04,2026-07-17,142723
OC-5704,2024-08-01,MP-0059,395,PROV-24,2024-08-11,2024-08-27,34481
OC-5227,2026-02-14,MP-0017,1479,PROV-32,2026-03-08,,165823
OC-6129,2025-09-25,MP-0139,185,PROV-03,2025-10-04,2025-10-16,22444
OC-5972,2026-01-07,MP-0111,178,PROV-08,2026-01-16,2026-01-30,71165
OC-5561,2026-05-18,MP-0039,836,PROV-26,2026-06-06,,395252
OC-6464,2026-02-03,MP-0413,90,PROV-15,2026-02-10,2026-02-15,332
OC-6410,2026-06-14,MP-0361,22,PROV-23,2026-07-01,2026-07-05,1316
OC-5864,2025-05-15,MP-0092,294,PROV-11,2025-05-26,2025-06-05,22184
OC-5046,2024-12-05,MP-0004,1257,PROV-20,2024-12-17,2025-01-03,385136
OC-5314,2025-12-10,MP-0023,1962,PROV-26,2025-12-26,2026-01-22,120113
OC-5802,2025-05-21,MP-0082,158,PROV-14,2025-05-28,2025-06-03,23972
OC-5980,2025-07-26,MP-0114,284,PROV-10,2025-08-02,2025-08-09,34343
OC-6018,2025-04-11,MP-0121,280,PROV-16,2025-04-20,2025-04-28,50877
OC-5662,2025-11-20,MP-0053,349,PROV-21,2025-12-02,2025-12-27,21843
OC-5034,2025-09-08,MP-0003,866,PROV-01,2025-09-22,2025-10-03,178655
OC-5793,2025-03-02,MP-0080,185,PROV-24,2025-03-12,2025-03-19,39838
OC-5247,2026-01-11,MP-0018,1902,PROV-07,2026-01-22,2026-02-14,91904
OC-5376,2024-09-05,MP-0027,481,PROV-27,2024-09-21,2024-09-30,179174
OC-5564,2026-06-06,MP-0039,1235,PROV-26,2026-06-25,2026-07-14,395252
OC-5098,2025-02-06,MP-0009,1294,PROV-10,2025-02-24,2025-03-19,256746
OC-5298,2025-01-24,MP-0022,1082,PROV-07,2025-02-06,2025-02-10,173118
OC-5529,2024-08-14,MP-0035,1864,PROV-34,2024-08-31,2024-09-11,391712
OC-5899,2026-04-18,MP-0098,422,PROV-18,2026-04-23,2026-04-27,16242
OC-6212,2025-12-07,MP-0171,68,PROV-13,2025-12-19,2025-12-21,3672
OC-6271,2025-04-18,MP-0228,11,PROV-05,2025-04-26,2025-05-18,3210
OC-5210,2024-10-01,MP-0016,1094,PROV-30,2024-10-16,2024-10-16,142723
OC-5033,2024-11-27,MP-0003,636,PROV-01,2024-12-11,2035-12-27,178655
OC-5011,2024-07-07,MP-0002,1636,PROV-02,2024-07-30,2024-08-18,98702
OC-5120,2025-07-27,MP-0010,1707,PROV-24,2025-08-16,2025-09-13,244981
OC-6115,2025-11-23,MP-0137,471,PROV-09,2025-11-29,2025-12-06,39144
OC-5542,2024-10-29,MP-0037,893,PROV-34,2024-11-11,2024-11-17,101283
OC-5393,2024-09-22,MP-0029,1558,PROV-04,2024-10-06,2024-10-19,310652
OC-5262,2025-10-25,MP-0018,1383,PROV-07,2025-11-05,2025-11-12,91904
OC-6135,2024-10-25,MP-0141,317,PROV-32,2024-10-31,2024-11-01,20387
OC-5963,2025-02-02,MP-0109,291,PROV-19,2025-02-13,2025-02-18,60010
OC-5885,2024-10-22,MP-0095,313,PROV-08,2024-10-30,2024-11-06,49436
OC-5455,2025-06-26,MP-0032,1266,PROV-03,2025-07-08,2025-07-22,196328
OC-5045,2025-11-27,MP-0004,943,PROV-20,2025-12-09,2025-12-23,385136
OC-5165,2025-08-06,MP-0012,1234,PROV-29,2025-08-20,2025-09-06,260365
OC-5121,2026-06-02,MP-0010,1238,PROV-24,2026-06-22,2026-07-12,244981
OC-5937,2025-09-03,MP-0103,402,PROV-09,2025-09-11,2025-09-15,50643
OC-6071,2025-12-04,MP-0130,469,PROV-11,2025-12-14,2025-12-19,74019
OC-5832,2025-01-23,MP-0087,326,PROV-23,2025-01-31,2025-01-30,77924
OC-5697,2026-06-01,MP-0058,482,PROV-25,2026-06-07,2026-06-15,64400
OC-6168,2026-05-16,MP-0146,291,PROV-33,2026-05-22,2026-05-26,31220
OC-5559,2025-10-08,MP-0038,880,PROV-32,2025-10-26,2025-11-11,307900
OC-5307,2025-01-03,MP-0022,1608,PROV-07,2025-01-16,2025-01-11,173118
OC-6345,2025-11-23,MP-0300,94,PROV-02,2025-12-03,2025-12-06,6323
OC-5660,2024-09-03,MP-0052,110,PROV-14,2024-09-14,2035-09-26,35381
OC-6014,2025-09-29,MP-0121,274,PROV-16,2025-10-08,2025-10-19,50877
OC-6392,2024-09-24,MP-0344,2,PROV-14,2024-10-06,2024-10-15,6342
OC-5908,2025-04-25,MP-0099,320,PROV-17,2025-05-01,2025-05-02,42946
