sku,stock_inicial,fecha
MP-0145,376,2024-07-01
MP-0146,435,2024-07-01
MP-0147,339,2024-07-01
MP-0148,514,2024-07-01
MP-0149,245,2024-07-01
MP-0150,450,2024-07-01
MP-0151,522,2024-07-01
MP-0152,491,2024-07-01
MP-0153,245,2024-07-01
MP-0154,327,2024-07-01
MP-0155,308,2024-07-01
MP-0156,554,2024-07-01
MP-0157,557,2024-07-01
MP-0158,412,2024-07-01
MP-0159,453,2024-07-01
MP-0160,264,2024-07-01
MP-0161,365,2024-07-01
MP-0162,440,2024-07-01
MP-0163,407,2024-07-01
MP-0164,372,2024-07-01
MP-0165,356,2024-07-01
MP-0166,457,2024-07-01
MP-0167,273,2024-07-01
MP-0168,215,2024-07-01
MP-0169,570,2024-07-01
MP-0170,331,2024-07-01
MP-0171,329,2024-07-01
MP-0172,352,2024-07-01
MP-0173,576,2024-07-01
MP-0174,482,2024-07-01
MP-0175,247,2024-07-01
MP-0176,483,2024-07-01
MP-0177,427,2024-07-01
MP-0178,235,2024-07-01
MP-0179,574,2024-07-01
MP-0180,502,2024-07-01
MP-0181,384,2024-07-01
MP-0182,392,2024-07-01
MP-0183,519,2024-07-01
MP-0184,295,2024-07-01
MP-0185,425,2024-07-01
MP-0186,539,2024-07-01
MP-0187,339,2024-07-01
MP-0188,375,2024-07-01
MP-0189,402,2024-07-01
MP-0190,462,2024-07-01
MP-0191,400,2024-07-01
MP-0192,479,2024-07-01
MP-0193,401,2024-07-01
MP-0194,273,2024-07-01
MP-0195,425,2024-07-01
MP-0196,282,2024-07-01
MP-0197,498,2024-07-01
MP-0198,553,2024-07-01
MP-0199,422,2024-07-01
MP-0200,370,2024-07-01
MP-0201,447,2024-07-01
MP-0202,288,2024-07-01
MP-0203,346,2024-07-01
MP-0204,588,2024-07-01
MP-0205,409,2024-07-01
MP-0206,498,2024-07-01
MP-0207,212,2024-07-01
MP-0208,405,2024-07-01
MP-0209,251,2024-07-01
MP-0210,429,2024-07-01
MP-0211,271,2024-07-01
MP-0212,296,2024-07-01
MP-0213,279,2024-07-01
MP-0214,214,2024-07-01
MP-0215,236,2024-07-01
MP-0216,230,2024-07-01
MP-0217,398,2024-07-01
MP-0218,224,2024-07-01
MP-0219,448,2024-07-01
MP-0220,565,2024-07-01
MP-0221,367,2024-07-01
MP-0222,560,2024-07-01
MP-0223,219,2024-07-01
MP-0224,595,2024-07-01
MP-0225,328,2024-07-01
MP-0226,230,2024-07-01
MP-0227,408,2024-07-01
MP-0228,272,2024-07-01
MP-0229,384,2024-07-01
MP-0230,493,2024-07-01
MP-0231,335,2024-07-01
MP-0232,497,2024-07-01
MP-0233,539,2024-07-01
MP-0234,365,2024-07-01
MP-0235,254,2024-07-01
MP-0236,481,2024-07-01
MP-0237,553,2024-07-01
MP-0238,506,2024-07-01
MP-0239,271,2024-07-01
MP-0240,574,2024-07-01
MP-0241,442,2024-07-01
MP-0242,518,2024-07-01
MP-0243,239,2024-07-01
MP-0244,386,2024-07-01
MP-0245,413,2024-07-01
MP-0246,499,2024-07-01
MP-0247,581,2024-07-01
MP-0248,253,2024-07-01
MP-0249,463,2024-07-01
MP-0250,204,2024-07-01
MP-0251,297,2024-07-01
MP-0252,340,2024-07-01
MP-0253,320,2024-07-01
MP-0254,464,2024-07-01
MP-0255,408,2024-07-01
MP-0256,294,2024-07-01
MP-0257,479,2024-07-01
MP-0258,519,2024-07-01
MP-0259,397,2024-07-01
MP-0260,553,2024-07-01
MP-0261,301,2024-07-01
MP-0262,526,2024-07-01
MP-0263,413,2024-07-01
MP-0264,273,2024-07-01
MP-0265,415,2024-07-01
MP-0266,356,2024-07-01
MP-0267,395,2024-07-01
MP-0268,225,2024-07-01
MP-0269,206,2024-07-01
MP-0270,529,2024-07-01
MP-0271,465,2024-07-01
MP-0272,563,2024-07-01
MP-0273,554,2024-07-01
MP-0274,326,2024-07-01
MP-0275,226,2024-07-01
MP-0276,240,2024-07-01
MP-0277,439,2024-07-01
MP-0278,343,2024-07-01
MP-0279,584,2024-07-01
MP-0280,468,2024-07-01
MP-0281,266,2024-07-01
MP-0282,556,2024-07-01
MP-0283,594,2024-07-01
MP-0284,584,2024-07-01
MP-0285,420,2024-07-01
MP-0286,546,2024-07-01
MP-0287,226,2024-07-01
MP-0288,465,2024-07-01
MP-0289,219,2024-07-01
MP-0290,490,2024-07-01
MP-0291,562,2024-07-01
MP-0292,405,2024-07-01
MP-0293,424,2024-07-01
MP-0294,218,2024-07-01
MP-0295,265,2024-07-01
MP-0296,301,2024-07-01
MP-0297,401,2024-07-01
MP-0298,593,2024-07-01
MP-0299,380,2024-07-01
MP-0300,421,2024-07-01
MP-0301,269,2024-07-01
MP-0302,489,2024-07-01
MP-0303,283,2024-07-01
MP-0304,595,2024-07-01
MP-0305,419,2024-07-01
MP-0306,445,2024-07-01
MP-0307,565,2024-07-01
MP-0308,291,2024-07-01
MP-0309,435,2024-07-01
MP-0310,580,2024-07-01
MP-0311,544,2024-07-01
MP-0312,501,2024-07-01
MP-0313,248,2024-07-01
MP-0314,254,2024-07-01
MP-0315,361,2024-07-01
MP-0316,451,2024-07-01
MP-0317,600,2024-07-01
MP-0318,552,2024-07-01
MP-0319,278,2024-07-01
MP-0320,571,2024-07-01
MP-0321,491,2024-07-01
MP-0322,518,2024-07-01
MP-0323,268,2024-07-01
MP-0324,493,2024-07-01
MP-0325,296,2024-07-01
MP-0326,478,2024-07-01
MP-0327,483,2024-07-01
MP-0328,247,2024-07-01
MP-0329,441,2024-07-01
MP-0330,403,2024-07-01
MP-0331,250,2024-07-01
MP-0332,445,2024-07-01
MP-0333,527,2024-07-01
MP-0334,229,2024-07-01
MP-0335,237,2024-07-01
MP-0336,565,2024-07-01
MP-0337,346,2024-07-01
MP-0338,439,2024-07-01
MP-0339,578,2024-07-01
MP-0340,352,2024-07-01
MP-0341,233,2024-07-01
MP-0342,371,2024-07-01
MP-0343,260,2024-07-01
MP-0344,432,2024-07-01
MP-0345,313,2024-07-01
MP-0346,300,2024-07-01
MP-0347,537,2024-07-01
MP-0348,469,2024-07-01
MP-0349,478,2024-07-01
MP-0350,491,2024-07-01
MP-0351,594,2024-07-01
MP-0352,275,2024-07-01
MP-0353,442,2024-07-01
MP-0354,533,2024-07-01
MP-0355,261,2024-07-01
MP-0356,383,2024-07-01
MP-0357,434,2024-07-01
MP-0358,574,2024-07-01
MP-0359,387,2024-07-01
MP-0360,345,2024-07-01
MP-0361,359,2024-07-01
MP-0362,333,2024-07-01
MP-0363,279,2024-07-01
MP-0364,485,2024-07-01
MP-0365,345,2024-07-01
MP-0366,392,2024-07-01
MP-0367,209,2024-07-01
MP-0368,379,2024-07-01
MP-0369,249,2024-07-01
MP-0370,327,2024-07-01
MP-0371,287,2024-07-01
MP-0372,339,2024-07-01
MP-0373,227,2024-07-01
MP-0374,285,2024-07-01
MP-0375,528,2024-07-01
MP-0376,537,2024-07-01
MP-0377,360,2024-07-01
MP-0378,566,2024-07-01
MP-0379,202,2024-07-01
MP-0380,399,2024-07-01
MP-0381,303,2024-07-01
MP-0382,207,2024-07-01
MP-0383,582,2024-07-01
MP-0384,525,2024-07-01
MP-0385,226,2024-07-01
MP-0386,553,2024-07-01
MP-0387,362,2024-07-01
MP-0388,259,2024-07-01
MP-0389,291,2024-07-01
MP-0390,326,2024-07-01
MP-0391,562,2024-07-01
MP-0392,379,2024-07-01
MP-0393,499,2024-07-01
MP-0394,497,2024-07-01
MP-0395,386,2024-07-01
MP-0396,387,2024-07-01
MP-0397,366,2024-07-01
MP-0398,461,2024-07-01
MP-0399,201,2024-07-01
MP-0400,234,2024-07-01
MP-0401,463,2024-07-01
MP-0402,588,2024-07-01
MP-0403,486,2024-07-01
MP-0404,555,2024-07-01
MP-0405,463,2024-07-01
MP-0406,577,2024-07-01
MP-0407,530,2024-07-01
MP-0408,569,2024-07-01
MP-0409,233,2024-07-01
MP-0410,560,2024-07-01
MP-0411,376,2024-07-01
MP-0412,442,2024-07-01
MP-0413,452,2024-07-01
MP-0414,252,2024-07-01
MP-0415,583,2024-07-01
MP-0416,597,2024-07-01
MP-0417,590,2024-07-01
MP-0418,263,2024-07-01
MP-0419,361,2024-07-01
MP-0420,354,2024-07-01
