producto,nombre_producto,sku_material,cantidad_por_unidad,unidad
PT-ARCH-4G,Archivador 4 gavetas,MP-0182,4.35,m2
PT-ARCH-4G,Archivador 4 gavetas,MP-0369,6.46,par
PT-ARCH-4G,Archivador 4 gavetas,MP-0157,3.35,unidad
PT-ARCH-2G,Archivador 2 gavetas,MP-0001,7.47,kg
PT-ARCH-2G,Archivador 2 gavetas,MP-0014,6.07,m2
PT-ARCH-2G,Archivador 2 gavetas,MP-0108,0.78,kg
PT-ARCH-2G,Archivador 2 gavetas,MP-0128,4.43,kg
PT-ARCH-2G,Archivador 2 gavetas,MP-0047,3.21,par
PT-ARCH-2G,Archivador 2 gavetas,MP-0244,3.62,kg
PT-ARCH-2G,Archivador 2 gavetas,MP-0182,4.72,m2
PT-ARCH-ROD,Archivador rodante,MP-0008,4.7,par
PT-ARCH-ROD,Archivador rodante,MP-0016,3.76,kg
PT-ARCH-ROD,Archivador rodante,MP-0122,4.68,kg
PT-ARCH-ROD,Archivador rodante,MP-0132,7.76,lámina
PT-ARCH-ROD,Archivador rodante,MP-0131,2.87,unidad
PT-ARCH-ROD,Archivador rodante,MP-0216,6.0,unidad
PT-ARCH-ROD,Archivador rodante,MP-0272,0.76,par
PT-EST-5N,Estantería 5 niveles,MP-0010,6.39,kg
PT-EST-5N,Estantería 5 niveles,MP-0002,3.63,kg
PT-EST-5N,Estantería 5 niveles,MP-0150,5.08,par
PT-EST-5N,Estantería 5 niveles,MP-0085,2.48,unidad
PT-EST-5N,Estantería 5 niveles,MP-0202,7.79,kg
PT-EST-5N,Estantería 5 niveles,MP-0153,3.58,par
PT-EST-5N,Estantería 5 niveles,MP-0178,1.69,m2
PT-EST-5N,Estantería 5 niveles,MP-0229,7.98,UNIDAD
PT-EST-3N,Estantería 3 niveles,MP-0013,4.97,kg
PT-EST-3N,Estantería 3 niveles,MP-0020,2.78,lámina
PT-EST-3N,Estantería 3 niveles,MP-0106,3.27,par
PT-EST-3N,Estantería 3 niveles,MP-0051,5.48,par
PT-EST-3N,Estantería 3 niveles,MP-0411,4.93,par
PT-EST-3N,Estantería 3 niveles,MP-0238,4.64,KG
PT-EST-IND,Estantería industrial,MP-0004,4.55,m2
PT-EST-IND,Estantería industrial,MP-0033,4.02,kg
PT-EST-IND,Estantería industrial,MP-0128,6.46,kg
PT-EST-IND,Estantería industrial,MP-0051,5.55,par
PT-EST-IND,Estantería industrial,MP-0045,2.55,par
PT-EST-IND,Estantería industrial,MP-0386,5.64,par
PT-EST-IND,Estantería industrial,MP-0393,1.81,unidad
PT-EST-IND,Estantería industrial,MP-0373,7.29,unidad
PT-SIL-OPE,Silla operativa,MP-0015,4.13,unidad
PT-SIL-OPE,Silla operativa,MP-0012,6.26,m
PT-SIL-OPE,Silla operativa,MP-0142,6.29,LÁMINA
PT-SIL-OPE,Silla operativa,MP-0102,7.67,m2
PT-SIL-OPE,Silla operativa,MP-0114,1.83,unidad
PT-SIL-OPE,Silla operativa,MP-0325,4.93,m
PT-SIL-OPE,Silla operativa,MP-0193,4.44,par
PT-SIL-OPE,Silla operativa,MP-0157,7.98,unidad
PT-SIL-OPE,Silla operativa,MP-0330,2.05,unidad
PT-SIL-INT,Silla interlocutora,MP-0024,5.24,m2
PT-SIL-INT,Silla interlocutora,MP-0020,5.05,lámina
PT-SIL-INT,Silla interlocutora,MP-0117,6.22,kg
PT-SIL-INT,Silla interlocutora,MP-0060,5.56,par
PT-SIL-INT,Silla interlocutora,MP-0357,6.84,par
PT-SIL-INT,Silla interlocutora,MP-0162,1.05,KG
PT-SIL-GER,Silla gerencial,MP-0009,5.15,unidad
PT-SIL-GER,Silla gerencial,MP-0024,7.09,m2
PT-SIL-GER,Silla gerencial,MP-0076,7.12,unidad
PT-SIL-GER,Silla gerencial,MP-0077,7.5,m
PT-SIL-GER,Silla gerencial,MP-0273,8.0,kg
PT-SIL-GER,Silla gerencial,MP-0373,4.64,unidad
PT-MOD-REC,Módulo recepción,MP-0026,4.43,unidad
PT-MOD-REC,Módulo recepción,MP-0024,0.9,m2
PT-MOD-REC,Módulo recepción,MP-0111,6.81,kg
PT-MOD-REC,Módulo recepción,MP-0071,5.4,kg
PT-MOD-REC,Módulo recepción,MP-0388,5.2,par
PT-MOD-REC,Módulo recepción,MP-0227,3.12,m2
PT-MOD-CAL,Módulo call center,MP-0005,2.94,kg
PT-MOD-CAL,Módulo call center,MP-0008,3.53,par
PT-MOD-CAL,Módulo call center,MP-0085,3.86,unidad
PT-MOD-CAL,Módulo call center,MP-0088,6.43,m2
PT-MOD-CAL,Módulo call center,MP-0143,7.19,kg
PT-MOD-CAL,Módulo call center,MP-0181,6.04,KG
PT-MOD-CAL,Módulo call center,MP-0385,1.77,m
PT-MOD-CAL,Módulo call center,MP-0321,3.26,unidad
PT-MOD-CAL,Módulo call center,MP-0343,7.24,PAR
PT-LOCK-12,Lockers 12 puertas,MP-0036,3.06,m
PT-LOCK-12,Lockers 12 puertas,MP-0019,2.11,m2
PT-LOCK-12,Lockers 12 puertas,MP-0080,3.38,kg
PT-LOCK-12,Lockers 12 puertas,MP-0139,6.23,lámina
PT-LOCK-12,Lockers 12 puertas,MP-0356,3.99,unidad
PT-LOCK-12,Lockers 12 puertas,MP-0339,1.33,kg
PT-MESA-JUN,Mesa de juntas,MP-0022,3.54,par
PT-MESA-JUN,Mesa de juntas,MP-0008,0.97,par
PT-MESA-JUN,Mesa de juntas,MP-0078,7.48,kg
PT-MESA-JUN,Mesa de juntas,MP-0059,4.61,lámina
PT-MESA-JUN,Mesa de juntas,MP-0108,2.19,kg
PT-MESA-JUN,Mesa de juntas,MP-0211,3.61,unidad
PT-MESA-JUN,Mesa de juntas,MP-0340,3.61,m2
PT-MESA-JUN,Mesa de juntas,MP-0390,2.59,unidad
PT-MESA-JUN,Mesa de juntas,MP-0268,2.37,m2
PT-BIB-MET,Biblioteca metálica,MP-0039,0.95,m
PT-BIB-MET,Biblioteca metálica,MP-0032,1.86,kg
PT-BIB-MET,Biblioteca metálica,MP-0129,6.3,par
PT-BIB-MET,Biblioteca metálica,MP-0136,5.42,m
PT-BIB-MET,Biblioteca metálica,MP-0217,4.78,kg
PT-BIB-MET,Biblioteca metálica,MP-0344,7.93,unidad
