sku,descripcion,categoria,unidad,costo_unitario,proveedor,lead_time_declarado_dias,stock_min,stock_max
MP-0414,Empaque calibre/ref 10,Empaque,unidad,2703,PROV-17,12,100,500
MP-0265,Tornillería calibre/ref 19,Tornillería,unidad,8263,PROV-29,7,100,500
MP-0327,Tubería calibre/ref 23,Tubería,m,8037,PROV-06,14,100,500
MP-0138,Tubería calibre/ref 10,Tubería,m,68215,PROV-21,19,100,500
MP-0067,Pintura calibre/ref 15,Pintura,kg,65561,PROV-04,11,100,500
MP-0377,Empaque calibre/ref 37,Empaque,unidad,5853,PROV-01,12,100,500
MP-0288,Lámina calibre/ref 6,Lámina,lámina,3660,PROV-13,19,100,500
MP-0364,Empaque calibre/ref 26,Empaque,unidad,7364,PROV-13,6,100,500
MP-0121,Adhesivos calibre/ref 28,Adhesivos,kg,50877,PROV-16,9,100,500
MP-0217,Adhesivos calibre/ref 34,Adhesivos,kg,7822,PROV-25,14,100,500
MP-0021,Correderas calibre/ref 31,Correderas,par,188399,PROV-03,13,100,500
MP-0062,Correderas calibre/ref 33,Correderas,par,42841,PROV-08,13,100,500
MP-0301,Pintura calibre/ref 12,Pintura,kg,13471,PROV-07,16,100,500
MP-0111,Adhesivos calibre/ref 34,Adhesivos,kg,71165,PROV-08,9,100,500
MP-0215,Pintura calibre/ref 33,Pintura,kg,8972,PROV-11,11,100,500
MP-0330,Tornillería calibre/ref 30,Tornillería,unidad,8021,PROV-32,8,100,500
MP-0008,Correderas calibre/ref 39,Correderas,par,310890,PROV-20,20,100,500
MP-0147,Tubería calibre/ref 28,Tubería,m,48242,PROV-28,10,100,500
MP-0091,Tubería calibre/ref 34,Tubería,m,75896,PROV-11,11,100,500
MP-0407,Lámina calibre/ref 34,Lámina,lámina,11177,PROV-02,10,100,500
MP-0061,Tornillería calibre/ref 7,Tornillería,unidad,53880,PROV-23,11,100,500
MP-0131,Tornillería calibre/ref 8,Tornillería,unidad,37576,PROV-35,9,100,500
MP-0298,Correderas calibre/ref 23,Correderas,par,3294,PROV-26,12,100,500
MP-0236,Empaque calibre/ref 12,Empaque,unidad,12660,PROV-01,10,100,500
MP-90107,Lámina (dup),Lámina,lámina,74064,PROV-07,14,100,500
MP-0051,Correderas calibre/ref 32,Correderas,par,68499,PROV-15,23,100,500
MP-0137,Vidrio calibre/ref 12,Vidrio,m2,39144,PROV-09,6,100,500
MP-0415,Correderas calibre/ref 28,Correderas,par,12117,PROV-09,9,100,500
MP-0253,Tubería calibre/ref 5,Tubería,m,9356,PROV-29,10,100,500
MP-0064,Tubería calibre/ref 23,Tubería,m,35201,PROV-06,11,100,500
MP-0086,Empaque calibre/ref 3,Empaque,unidad,69618,PROV-33,19,100,500
MP-90019,Vidrio (dup),Vidrio,m2,85882,PROV-31,17,100,500
MP-0391,Adhesivos calibre/ref 29,Adhesivos,kg,8995,PROV-06,15,100,500
MP-0070,Tubería calibre/ref 34,Tubería,m,57954,PROV-16,9,100,500
MP-0071,Pintura calibre/ref 10,Pintura,kg,64609,PROV-18,10,100,500
MP-0400,Tubería calibre/ref 15,Tubería,m,13930,PROV-28,11,100,500
MP-0020,Lámina calibre/ref 1,Lámina,lámina,248445,PROV-29,15,100,500
MP-0282,Tornillería calibre/ref 28,Tornillería,unidad,14231,PROV-23,11,100,500
MP-90093,Adhesivos (dup),Adhesivos,kg,75030,PROV-20,7,100,500
MP-0034,Tornillería calibre/ref 13,Tornillería,unidad,318023,PROV-03,18,100,500
MP-0001,Adhesivos calibre/ref 25,Adhesivos,kg,299035,PROV-02,26,100,500
MP-0085,Empaque calibre/ref 20,Empaque,unidad,42369,PROV-25,11,100,500
MP-0179,Correderas calibre/ref 24,Correderas,par,11205,PROV-27,15,100,500
MP-90223,Tornillería (dup),Tornillería,unidad,10728,PROV-30,13,100,500
MP-0309,Tubería calibre/ref 3,Tubería,m,6190,PROV-29,11,100,500
MP-0341,Tornillería calibre/ref 5,Tornillería,unidad,2027,PROV-34,7,100,500
MP-0083,Pintura calibre/ref 14,Pintura,kg,73001,PROV-07,6,100,500
MP-0405,Lámina calibre/ref 16,Lámina,lámina,8284,PROV-26,12,100,500
MP-0073,Empaque calibre/ref 3,Empaque,unidad,45806,PROV-14,11,100,500
MP-0320,Lámina calibre/ref 38,Lámina,lámina,1174,PROV-14,17,100,500
MP-0124,Tubería calibre/ref 35,Tubería,m,29143,PROV-02,14,100,500
MP-0028,Tubería calibre/ref 19,Tubería,m,367530,PROV-06,19,100,500
MP-0069,Tubería calibre/ref 25,Tubería,m,44153,PROV-16,12,100,500
MP-0355,Lámina calibre/ref 28,Lámina,lámina,13636,PROV-05,5,100,500
MP-0130,Empaque calibre/ref 33,Empaque,unidad,74019,PROV-11,10,100,500
MP-0209,Tubería calibre/ref 37,Tubería,m,5569,PROV-02,9,100,500
MP-0401,Vidrio calibre/ref 25,Vidrio,m2,2358,PROV-18,11,100,500
MP-0042,Lámina calibre/ref 37,Lámina,lámina,50406,PROV-08,12,100,500
MP-0007,Adhesivos calibre/ref 33,Adhesivos,kg,313781,PROV-01,17,100,500
MP-90072,Adhesivos (dup),Adhesivos,kg,16950,PROV-09,13,100,500
MP-0113,Adhesivos calibre/ref 5,Adhesivos,kg,60878,PROV-11,7,100,500
MP-0293,Lámina calibre/ref 15,Lámina,lámina,8453,PROV-08,11,100,500
MP-0201,Correderas calibre/ref 16,Correderas,par,13444,PROV-31,11,100,500
MP-0096,Adhesivos calibre/ref 2,Adhesivos,kg,51577,PROV-29,8,100,500
MP-0117,Pintura calibre/ref 22,Pintura,kg,19690,PROV-27,10,100,500
MP-0088,Vidrio calibre/ref 22,Vidrio,m2,42952,PROV-17,5,100,500
MP-0006,Lámina calibre/ref 25,Lámina,lámina,142141,PROV-08,15,100,500
MP-0087,Pintura calibre/ref 11,Pintura,kg,77924,PROV-23,8,100,500
MP-0242,Empaque calibre/ref 12,Empaque,unidad,12815,PROV-23,13,100,500
MP-0166,Lámina calibre/ref 28,Lámina,lámina,10838,PROV-08,5,100,500
MP-0371,Tubería calibre/ref 19,Tubería,m,4437,PROV-31,6,100,500
MP-90388,Correderas (dup),Correderas,par,4008,PROV-31,15,100,500
MP-0169,Correderas calibre/ref 15,Correderas,par,1258,PROV-24,5,100,500
MP-0304,Correderas calibre/ref 16,Correderas,par,5637,PROV-32,16,100,500
MP-0040,Correderas calibre/ref 2,Correderas,par,143609,PROV-31,17,100,500
MP-0350,Adhesivos calibre/ref 15,Adhesivos,kg,7054,PROV-11,9,100,500
MP-0232,Tubería calibre/ref 14,Tubería,m,8859,PROV-02,21,100,500
MP-0196,Vidrio calibre/ref 16,Vidrio,m2,4392,PROV-13,9,100,500
MP-0245,Adhesivos calibre/ref 23,Adhesivos,kg,2815,PROV-23,16,100,500
MP-0141,Adhesivos calibre/ref 38,Adhesivos,kg,20387,PROV-32,6,100,500
MP-0408,Empaque calibre/ref 36,Empaque,unidad,14786,PROV-24,13,100,500
MP-0099,Vidrio calibre/ref 17,Vidrio,m2,42946,PROV-17,6,100,500
MP-0291,Vidrio calibre/ref 23,Vidrio,m2,13498,PROV-05,6,100,500
MP-0223,Tornillería calibre/ref 36,Tornillería,unidad,10102,PROV-30,13,100,500
MP-0205,Correderas calibre/ref 12,Correderas,par,2925,PROV-30,9,100,500
MP-0274,Tubería calibre/ref 12,Tubería,m,8520,PROV-22,8,100,500
MP-0409,Tornillería calibre/ref 29,Tornillería,unidad,13425,PROV-26,6,100,500
MP-0275,Tubería calibre/ref 33,Tubería,m,2333,PROV-31,13,100,500
MP-0148,Adhesivos calibre/ref 14,Adhesivos,kg,74617,PROV-15,11,100,500
MP-0161,Correderas calibre/ref 21,Correderas,par,2495,PROV-03,9,100,500
MP-0317,Tubería calibre/ref 13,Tubería,m,6640,PROV-32,8,100,500
MP-0383,Tornillería calibre/ref 26,Tornillería,unidad,2342,PROV-19,13,100,500
MP-0233,Correderas calibre/ref 11,Correderas,par,5273,PROV-01,10,100,500
MP-0358,Adhesivos calibre/ref 25,Adhesivos,kg,10081,PROV-03,13,100,500
MP-0081,Adhesivos calibre/ref 17,Adhesivos,kg,29017,PROV-04,10,100,500
MP-90197,Tornillería (dup),Tornillería,unidad,4142,PROV-06,7,100,500
MP-0158,Tubería calibre/ref 32,Tubería,m,9120,PROV-21,10,100,500
MP-0140,Vidrio calibre/ref 10,Vidrio,m2,69076,PROV-20,19,100,500
MP-0272,Correderas calibre/ref 39,Correderas,par,12300,PROV-16,7,100,500
MP-0044,Vidrio calibre/ref 25,Vidrio,m2,64011,PROV-06,5,100,500
MP-0120,Pintura calibre/ref 2,Pintura,kg,57256,PROV-01,14,100,500
MP-0269,Vidrio calibre/ref 13,Vidrio,m2,2974,PROV-12,6,100,500
MP-0386,Correderas calibre/ref 22,Correderas,par,5157,PROV-14,13,100,500
MP-0385,Tubería calibre/ref 28,Tubería,m,11740,PROV-07,9,100,500
MP-0190,Vidrio calibre/ref 20,Vidrio,m2,8785,PROV-30,5,100,500
MP-0258,Empaque calibre/ref 38,Empaque,unidad,14988,PROV-11,9,100,500
MP-0184,Tornillería calibre/ref 3,Tornillería,unidad,13370,PROV-35,8,100,500
MP-0204,Correderas calibre/ref 22,Correderas,par,3743,PROV-09,6,100,500
MP-0095,Pintura calibre/ref 39,Pintura,kg,49436,PROV-08,8,100,500
MP-0395,Empaque calibre/ref 21,Empaque,unidad,12818,PROV-31,7,100,500
MP-0079,Lámina calibre/ref 13,Lámina,lámina,61211,PROV-27,15,100,500
MP-0413,Empaque calibre/ref 36,Empaque,unidad,332,PROV-15,7,100,500
MP-0173,Tubería calibre/ref 35,Tubería,m,7717,PROV-25,9,100,500
MP-90390,Tornillería (dup),Tornillería,unidad,15622,PROV-17,13,100,500
MP-0302,Tubería calibre/ref 29,Tubería,m,4885,PROV-28,29,100,500
MP-0237,Correderas calibre/ref 14,Correderas,par,2056,PROV-30,11,100,500
MP-90183,Tubería (dup),Tubería,m,14062,PROV-20,15,100,500
MP-0326,Vidrio calibre/ref 25,Vidrio,m2,913,PROV-23,7,100,500
MP-0346,Correderas calibre/ref 37,Correderas,par,8492,PROV-31,14,100,500
MP-0189,Lámina calibre/ref 34,Lámina,lámina,5058,PROV-10,16,100,500
MP-0168,Adhesivos calibre/ref 15,Adhesivos,kg,2412,PROV-27,10,100,500
MP-0153,Correderas calibre/ref 31,Correderas,par,14614,PROV-07,9,100,500
MP-0314,Vidrio calibre/ref 30,Vidrio,m2,3975,PROV-11,9,100,500
MP-0267,Tubería calibre/ref 24,Tubería,m,7722,PROV-10,11,100,500
MP-0186,Empaque calibre/ref 10,Empaque,unidad,14860,PROV-08,16,100,500
MP-0261,Vidrio calibre/ref 11,Vidrio,m2,4365,PROV-33,7,100,500
MP-0194,Pintura calibre/ref 9,Pintura,kg,7578,PROV-08,13,100,500
MP-90370,Tubería (dup),Tubería,m,15454,PROV-35,15,100,500
MP-0072,Adhesivos calibre/ref 35,Adhesivos,kg,15680,PROV-09,13,100,500
MP-0419,Correderas calibre/ref 5,Correderas,par,10429,PROV-34,9,100,500
MP-0039,Tubería calibre/ref 24,Tubería,m,395252,PROV-26,35,100,500
MP-0230,Correderas calibre/ref 26,Correderas,par,11714,PROV-04,8,100,500
MP-0316,Tubería calibre/ref 40,Tubería,m,10502,PROV-07,11,100,500
MP-0046,Pintura calibre/ref 27,Pintura,kg,36673,PROV-14,16,100,500
MP-0286,Vidrio calibre/ref 2,Vidrio,m2,8518,PROV-06,7,100,500
MP-0397,Empaque calibre/ref 20,Empaque,unidad,8205,PROV-14,6,100,500
MP-90137,Vidrio (dup),Vidrio,m2,41373,PROV-09,6,100,500
MP-0054,Correderas calibre/ref 17,Correderas,par,52942,PROV-35,6,100,500
MP-0262,Correderas calibre/ref 27,Correderas,par,10446,PROV-30,8,100,500
MP-0115,Lámina calibre/ref 39,Lámina,lámina,26639,PROV-18,19,100,500
MP-0180,Empaque calibre/ref 28,Empaque,unidad,6718,PROV-22,13,100,500
MP-0155,Tornillería calibre/ref 15,Tornillería,unidad,14126,PROV-09,8,100,500
MP-0394,Vidrio calibre/ref 15,Vidrio,m2,1688,PROV-21,6,100,500
MP-0266,Pintura calibre/ref 19,Pintura,kg,8009,PROV-07,23,100,500
MP-0229,Empaque calibre/ref 9,Empaque,unidad,7426,PROV-03,16,100,500
MP-0068,Empaque calibre/ref 40,Empaque,unidad,33602,PROV-24,9,100,500
MP-0251,Lámina calibre/ref 15,Lámina,lámina,11276,PROV-29,10,100,500
MP-0318,Correderas calibre/ref 26,Correderas,par,13277,PROV-34,14,100,500
MP-0411,Correderas calibre/ref 9,Correderas,par,2329,PROV-03,14,100,500
MP-0289,Adhesivos calibre/ref 9,Adhesivos,kg,10185,PROV-30,13,100,500
MP-0225,Empaque calibre/ref 17,Empaque,unidad,7878,PROV-02,5,100,500
MP-0076,Tornillería calibre/ref 19,Tornillería,unidad,29459,PROV-11,17,100,500
MP-0277,Empaque calibre/ref 37,Empaque,unidad,1976,PROV-23,11,100,500
MP-0345,Lámina calibre/ref 26,Lámina,lámina,14371,PROV-31,6,100,500
MP-0363,Adhesivos calibre/ref 33,Adhesivos,kg,8678,PROV-05,21,100,500
MP-0022,Correderas calibre/ref 1,Correderas,par,173118,PROV-07,13,100,500
MP-0279,Adhesivos calibre/ref 6,Adhesivos,kg,1287,PROV-17,14,100,500
MP-0025,Vidrio calibre/ref 34,Vidrio,m2,216530,PROV-24,19,100,500
MP-0082,Tornillería calibre/ref 15,Tornillería,unidad,23972,PROV-14,7,100,500
MP-0089,Lámina calibre/ref 24,Lámina,lámina,56054,PROV-14,9,100,500
MP-0199,Empaque calibre/ref 36,Empaque,unidad,13941,PROV-13,19,100,500
MP-0392,Vidrio calibre/ref 34,Vidrio,m2,1025,PROV-05,9,100,500
MP-0374,Pintura calibre/ref 11,Pintura,kg,2099,PROV-15,5,100,500
MP-90018,Adhesivos (dup),Adhesivos,kg,104040,PROV-07,11,100,500
MP-0406,Tubería calibre/ref 27,Tubería,m,1249,PROV-34,16,100,500
MP-0063,Adhesivos calibre/ref 37,Adhesivos,kg,30966,PROV-34,12,100,500
MP-0299,Empaque calibre/ref 10,Empaque,unidad,7144,PROV-32,7,100,500
MP-0339,Adhesivos calibre/ref 25,Adhesivos,kg,4192,PROV-07,7,100,500
MP-0019,Vidrio calibre/ref 29,Vidrio,m2,81958,PROV-31,17,100,500
MP-0182,Vidrio calibre/ref 13,Vidrio,m2,7457,PROV-26,13,100,500
MP-0128,Pintura calibre/ref 15,Pintura,kg,56497,PROV-22,8,100,500
MP-0390,Tornillería calibre/ref 11,Tornillería,unidad,13936,PROV-17,13,100,500
MP-0093,Adhesivos calibre/ref 7,Adhesivos,kg,67888,PROV-20,14,100,500
MP-0202,Pintura calibre/ref 34,Pintura,kg,2983,PROV-29,15,100,500
MP-0373,Tornillería calibre/ref 19,Tornillería,unidad,13149,PROV-03,10,100,500
MP-90091,Tubería (dup),Tubería,m,80087,PROV-11,11,100,500
MP-0263,Tubería calibre/ref 33,Tubería,m,4802,PROV-21,6,100,500
MP-0255,Tornillería calibre/ref 6,Tornillería,unidad,7693,PROV-35,13,100,500
MP-0143,Pintura calibre/ref 19,Pintura,kg,78410,PROV-10,11,100,500
MP-0312,Vidrio calibre/ref 7,Vidrio,m2,7466,PROV-09,12,100,500
MP-0104,Tubería calibre/ref 14,Tubería,m,71159,PROV-06,13,100,500
MP-0014,Vidrio calibre/ref 37,Vidrio,m2,234603,PROV-26,9,100,500
MP-0307,Pintura calibre/ref 23,Pintura,kg,2975,PROV-09,6,100,500
MP-0178,Vidrio calibre/ref 15,Vidrio,m2,7406,PROV-22,8,100,500
MP-0037,Pintura calibre/ref 28,Pintura,kg,101283,PROV-34,13,100,500
MP-0100,Pintura calibre/ref 33,Pintura,kg,61699,PROV-10,8,100,500
MP-90038,Adhesivos (dup),Adhesivos,kg,339193,PROV-32,18,100,500
MP-0420,Adhesivos calibre/ref 30,Adhesivos,kg,13429,PROV-33,7,100,500
MP-0398,Correderas calibre/ref 39,Correderas,par,653,PROV-25,17,100,500
MP-0240,Correderas calibre/ref 20,Correderas,par,6284,PROV-07,10,100,500
MP-0248,Tornillería calibre/ref 23,Tornillería,unidad,860,PROV-14,6,100,500
MP-0105,Lámina calibre/ref 21,Lámina,lámina,56750,PROV-29,11,100,500
MP-90157,Tornillería (dup),Tornillería,unidad,2888,PROV-12,6,100,500
MP-0035,Empaque calibre/ref 39,Empaque,unidad,391712,PROV-34,17,100,500
MP-0031,Pintura calibre/ref 18,Pintura,kg,324073,PROV-17,13,100,500
MP-0018,Adhesivos calibre/ref 8,Adhesivos,kg,91904,PROV-07,11,100,500
MP-0271,Vidrio calibre/ref 17,Vidrio,m2,6198,PROV-18,10,100,500
MP-0361,Tubería calibre/ref 32,Tubería,m,1316,PROV-23,17,100,500
MP-0150,Correderas calibre/ref 9,Correderas,par,40425,PROV-21,10,100,500
MP-0295,Pintura calibre/ref 28,Pintura,kg,12068,PROV-12,9,100,500
MP-0047,Correderas calibre/ref 20,Correderas,par,60848,PROV-34,12,100,500
MP-0116,Pintura calibre/ref 38,Pintura,kg,49643,PROV-09,9,100,500
MP-0084,Adhesivos calibre/ref 1,Adhesivos,kg,26907,PROV-34,7,100,500
MP-90185,Tornillería (dup),Tornillería,unidad,13693,PROV-23,9,100,500
MP-0045,Correderas calibre/ref 3,Correderas,par,62696,PROV-09,6,100,500
MP-0372,Pintura calibre/ref 3,Pintura,kg,7801,PROV-02,7,100,500
MP-0310,Pintura calibre/ref 7,Pintura,kg,11146,PROV-26,12,100,500
MP-0136,Tubería calibre/ref 19,Tubería,m,50144,PROV-03,24,100,500
MP-0011,Adhesivos calibre/ref 36,Adhesivos,kg,356026,PROV-17,20,100,500
MP-90127,Pintura (dup),Pintura,kg,19690,PROV-19,8,100,500
MP-0211,Empaque calibre/ref 29,Empaque,unidad,5707,PROV-35,16,100,500
MP-0283,Empaque calibre/ref 40,Empaque,unidad,10720,PROV-20,8,100,500
MP-0074,Empaque calibre/ref 27,Empaque,unidad,57757,PROV-01,6,100,500
MP-0249,Vidrio calibre/ref 19,Vidrio,m2,13337,PROV-29,38,100,500
MP-0177,Pintura calibre/ref 4,Pintura,kg,929,PROV-17,8,100,500
MP-0015,Empaque calibre/ref 15,Empaque,unidad,151416,PROV-03,15,100,500
MP-0235,Empaque calibre/ref 3,Empaque,unidad,6681,PROV-28,6,100,500
MP-0418,Pintura calibre/ref 21,Pintura,kg,14607,PROV-29,8,100,500
MP-0227,Vidrio calibre/ref 28,Vidrio,m2,2521,PROV-24,13,100,500
MP-0315,Tornillería calibre/ref 19,Tornillería,unidad,447,PROV-04,7,100,500
MP-0026,Empaque calibre/ref 21,Empaque,unidad,393154,PROV-28,11,100,500
MP-0359,Tubería calibre/ref 1,Tubería,m,13436,PROV-27,11,100,500
MP-0041,Empaque calibre/ref 15,Empaque,unidad,33775,PROV-26,9,100,500
MP-0403,Vidrio calibre/ref 10,Vidrio,m2,7247,PROV-32,7,100,500
MP-0224,Pintura calibre/ref 3,Pintura,kg,14481,PROV-30,13,100,500
MP-0290,Tubería calibre/ref 40,Tubería,m,14877,PROV-13,14,100,500
MP-0165,Lámina calibre/ref 3,Lámina,lámina,14129,PROV-02,9,100,500
MP-0023,Adhesivos calibre/ref 3,Adhesivos,kg,120113,PROV-26,16,100,500
MP-0388,Correderas calibre/ref 1,Correderas,par,3807,PROV-31,15,100,500
MP-0218,Pintura calibre/ref 24,Pintura,kg,10287,PROV-07,6,100,500
MP-0259,Tubería calibre/ref 17,Tubería,m,1924,PROV-27,13,100,500
MP-0305,Lámina calibre/ref 30,Lámina,lámina,4165,PROV-16,12,100,500
MP-0382,Adhesivos calibre/ref 5,Adhesivos,kg,12199,PROV-12,7,100,500
MP-0038,Adhesivos calibre/ref 34,Adhesivos,kg,307900,PROV-32,18,100,500
MP-0313,Tubería calibre/ref 38,Tubería,m,12338,PROV-07,7,100,500
MP-0246,Empaque calibre/ref 37,Empaque,unidad,10117,PROV-05,13,100,500
MP-0048,Lámina calibre/ref 18,Lámina,lámina,15566,PROV-07,8,100,500
MP-0101,Correderas calibre/ref 14,Correderas,par,70351,PROV-16,7,100,500
MP-0075,Tubería calibre/ref 3,Tubería,m,30143,PROV-33,6,100,500
MP-0300,Adhesivos calibre/ref 39,Adhesivos,kg,6323,PROV-02,10,100,500
