sku,stock_fisico_contado,fecha_conteo
MP-0065,1256,2026-03-31
MP-0066,2202,2026-03-31
MP-0067,1212,2026-03-31
MP-0068,960,2026-03-31
MP-0069,2471,2026-03-31
MP-0070,1199,2026-03-31
MP-0071,5566,2026-03-31
MP-0072,430,2026-03-31
MP-0073,9913,2026-03-31
MP-0074,4438,2026-03-31
MP-0075,845,2026-03-31
MP-0076,10362,2026-03-31
MP-0077,9710,2026-03-31
MP-0078,9304,2026-03-31
MP-0079,867,2026-03-31
MP-0080,4184,2026-03-31
MP-0081,870,2026-03-31
MP-0082,979,2026-03-31
MP-0083,1097,2026-03-31
MP-0084,3795,2026-03-31
MP-0085,9043,2026-03-31
MP-0086,868,2026-03-31
MP-0087,3599,2026-03-31
MP-0088,7059,2026-03-31
MP-0089,3861,2026-03-31
MP-0090,2502,2026-03-31
MP-0091,1318,2026-03-31
MP-0092,1900,2026-03-31
MP-0093,2392,2026-03-31
MP-0094,5149,2026-03-31
MP-0095,1496,2026-03-31
MP-0096,1121,2026-03-31
MP-0097,899,2026-03-31
MP-0098,1439,2026-03-31
MP-0099,3702,2026-03-31
MP-0100,1978,2026-03-31
MP-0101,8182,2026-03-31
MP-0102,10231,2026-03-31
MP-0103,3903,2026-03-31
MP-0104,592,2026-03-31
MP-0105,797,2026-03-31
MP-0106,2552,2026-03-31
MP-0107,1178,2026-03-31
MP-0108,8600,2026-03-31
MP-0109,1668,2026-03-31
MP-0110,1315,2026-03-31
MP-0111,9296,2026-03-31
MP-0112,977,2026-03-31
MP-0113,659,2026-03-31
MP-0114,1473,2026-03-31
MP-0115,1126,2026-03-31
MP-0116,3804,2026-03-31
MP-0117,7175,2026-03-31
MP-0118,6666,2026-03-31
MP-0119,830,2026-03-31
MP-0120,7269,2026-03-31
MP-0121,3558,2026-03-31
MP-0122,6542,2026-03-31
MP-0123,1208,2026-03-31
MP-0124,715,2026-03-31
MP-0125,4533,2026-03-31
MP-0126,1443,2026-03-31
MP-0127,1406,2026-03-31
MP-0128,13922,2026-03-31
MP-0129,6862,2026-03-31
MP-0130,3906,2026-03-31
MP-0131,760,2026-03-31
MP-0132,10572,2026-03-31
MP-0133,9619,2026-03-31
MP-0134,1728,2026-03-31
MP-0135,2705,2026-03-31
MP-0136,5854,2026-03-31
MP-0137,4370,2026-03-31
MP-0138,2198,2026-03-31
MP-0139,9616,2026-03-31
MP-0140,776,2026-03-31
MP-0141,2213,2026-03-31
MP-0142,7009,2026-03-31
MP-0143,9964,2026-03-31
MP-0144,615,2026-03-31
MP-0145,2814,2026-03-31
MP-0146,2745,2026-03-31
MP-0147,3848,2026-03-31
MP-0148,782,2026-03-31
MP-0149,14574,2026-03-31
MP-0150,8018,2026-03-31
MP-0151,499,2026-03-31
MP-0152,560,2026-03-31
MP-0153,5934,2026-03-31
MP-0154,331,2026-03-31
MP-0155,362,2026-03-31
MP-0156,554,2026-03-31
MP-0157,17264,2026-03-31
MP-0158,475,2026-03-31
MP-0159,519,2026-03-31
MP-0160,294,2026-03-31
MP-0161,3755,2026-03-31
MP-0162,923,2026-03-31
MP-0163,476,2026-03-31
MP-0164,414,2026-03-31
MP-0165,416,2026-03-31
MP-0166,457,2026-03-31
MP-0167,421,2026-03-31
MP-0168,250,2026-03-31
MP-0169,584,2026-03-31
MP-0170,331,2026-03-31
MP-0171,397,2026-03-31
MP-0172,356,2026-03-31
MP-0173,633,2026-03-31
MP-0174,516,2026-03-31
MP-0175,247,2026-03-31
MP-0176,654,2026-03-31
MP-0177,486,2026-03-31
MP-0178,2689,2026-03-31
MP-0179,617,2026-03-31
MP-0180,542,2026-03-31
MP-0181,8611,2026-03-31
MP-0182,14917,2026-03-31
MP-0183,560,2026-03-31
MP-0184,373,2026-03-31
MP-0185,425,2026-03-31
MP-0186,587,2026-03-31
MP-0187,339,2026-03-31
MP-0188,425,2026-03-31
MP-0189,7197,2026-03-31
MP-0190,512,2026-03-31
MP-0191,430,2026-03-31
MP-0192,514,2026-03-31
MP-0193,6272,2026-03-31
MP-0194,273,2026-03-31
MP-0195,472,2026-03-31
MP-0196,313,2026-03-31
MP-0197,9525,2026-03-31
MP-0198,553,2026-03-31
MP-0199,8800,2026-03-31
MP-0200,424,2026-03-31
MP-0201,447,2026-03-31
MP-0202,13234,2026-03-31
MP-0203,346,2026-03-31
MP-0204,664,2026-03-31
MP-0205,475,2026-03-31
MP-0206,591,2026-03-31
MP-0207,252,2026-03-31
MP-0208,515,2026-03-31
MP-0209,254,2026-03-31
MP-0210,488,2026-03-31
MP-0211,4509,2026-03-31
MP-0212,294,2026-03-31
MP-0213,296,2026-03-31
MP-0214,252,2026-03-31
MP-0215,247,2026-03-31
MP-0216,8747,2026-03-31
MP-0217,6174,2026-03-31
MP-0218,415,2026-03-31
MP-0219,531,2026-03-31
MP-0220,588,2026-03-31
MP-0221,476,2026-03-31
MP-0222,635,2026-03-31
MP-0223,240,2026-03-31
MP-0224,689,2026-03-31
MP-0225,328,2026-03-31
MP-0226,247,2026-03-31
MP-0227,4225,2026-03-31
MP-0228,283,2026-03-31
MP-0229,13389,2026-03-31
MP-0230,515,2026-03-31
MP-0231,372,2026-03-31
MP-0232,7798,2026-03-31
MP-0233,547,2026-03-31
MP-0234,411,2026-03-31
MP-0235,264,2026-03-31
MP-0236,481,2026-03-31
MP-0237,558,2026-03-31
MP-0238,6803,2026-03-31
MP-0239,3452,2026-03-31
MP-0240,561,2026-03-31
MP-0241,512,2026-03-31
MP-0242,531,2026-03-31
MP-0243,309,2026-03-31
MP-0244,5491,2026-03-31
MP-0245,461,2026-03-31
MP-0246,499,2026-03-31
MP-0247,617,2026-03-31
MP-0248,317,2026-03-31
MP-0249,463,2026-03-31
MP-0250,198,2026-03-31
MP-0251,342,2026-03-31
MP-0252,340,2026-03-31
MP-0253,309,2026-03-31
MP-0254,10607,2026-03-31
MP-0255,408,2026-03-31
MP-0256,294,2026-03-31
MP-0257,479,2026-03-31
MP-0258,534,2026-03-31
MP-0259,416,2026-03-31
MP-0260,633,2026-03-31
MP-0261,380,2026-03-31
MP-0262,539,2026-03-31
MP-0263,445,2026-03-31
MP-0264,273,2026-03-31
MP-0265,420,2026-03-31
MP-0266,399,2026-03-31
MP-0267,407,2026-03-31
MP-0268,2931,2026-03-31
MP-0269,240,2026-03-31
MP-0270,543,2026-03-31
MP-0271,545,2026-03-31
MP-0272,586,2026-03-31
MP-0273,11802,2026-03-31
MP-0274,356,2026-03-31
MP-0275,255,2026-03-31
MP-0276,296,2026-03-31
MP-0277,497,2026-03-31
MP-0278,382,2026-03-31
MP-0279,628,2026-03-31
MP-0280,491,2026-03-31
MP-0281,286,2026-03-31
MP-0282,583,2026-03-31
MP-0283,647,2026-03-31
MP-0284,584,2026-03-31
MP-0285,462,2026-03-31
MP-0286,626,2026-03-31
MP-0287,280,2026-03-31
MP-0288,482,2026-03-31
MP-0289,249,2026-03-31
MP-0290,490,2026-03-31
MP-0291,596,2026-03-31
MP-0292,405,2026-03-31
MP-0293,7520,2026-03-31
MP-0294,221,2026-03-31
MP-0295,305,2026-03-31
MP-0296,353,2026-03-31
MP-0297,424,2026-03-31
MP-0298,655,2026-03-31
MP-0299,8751,2026-03-31
MP-0300,515,2026-03-31
MP-0301,296,2026-03-31
MP-0302,556,2026-03-31
MP-0303,283,2026-03-31
MP-0304,627,2026-03-31
MP-0305,434,2026-03-31
MP-0306,445,2026-03-31
MP-0307,594,2026-03-31
MP-0308,377,2026-03-31
MP-0309,7852,2026-03-31
MP-0310,545,2026-03-31
MP-0311,615,2026-03-31
MP-0312,504,2026-03-31
MP-0313,459,2026-03-31
MP-0314,315,2026-03-31
MP-0315,515,2026-03-31
MP-0316,451,2026-03-31
MP-0317,654,2026-03-31
MP-0318,735,2026-03-31
MP-0319,313,2026-03-31
MP-0320,654,2026-03-31
MP-0321,4390,2026-03-31
MP-0322,545,2026-03-31
MP-0323,288,2026-03-31
MP-0324,533,2026-03-31
MP-0325,7124,2026-03-31
MP-0326,538,2026-03-31
MP-0327,483,2026-03-31
MP-0328,247,2026-03-31
MP-0329,441,2026-03-31
MP-0330,2687,2026-03-31
MP-0331,288,2026-03-31
MP-0332,533,2026-03-31
MP-0333,563,2026-03-31
MP-0334,277,2026-03-31
MP-0335,270,2026-03-31
MP-0336,593,2026-03-31
MP-0337,378,2026-03-31
MP-0338,479,2026-03-31
MP-0339,1574,2026-03-31
MP-0340,4461,2026-03-31
MP-0341,277,2026-03-31
MP-0342,371,2026-03-31
MP-0343,10563,2026-03-31
MP-0344,10495,2026-03-31
MP-0345,479,2026-03-31
MP-0346,313,2026-03-31
MP-0347,537,2026-03-31
MP-0348,486,2026-03-31
MP-0349,496,2026-03-31
MP-0350,517,2026-03-31
MP-0351,606,2026-03-31
MP-0352,275,2026-03-31
MP-0353,514,2026-03-31
MP-0354,547,2026-03-31
MP-0355,261,2026-03-31
MP-0356,6159,2026-03-31
MP-0357,8503,2026-03-31
MP-0358,668,2026-03-31
MP-0359,398,2026-03-31
MP-0360,345,2026-03-31
MP-0361,359,2026-03-31
MP-0362,388,2026-03-31
MP-0363,326,2026-03-31
MP-0364,535,2026-03-31
MP-0365,369,2026-03-31
MP-0366,392,2026-03-31
MP-0367,243,2026-03-31
MP-0368,465,2026-03-31
MP-0369,10970,2026-03-31
MP-0370,1969,2026-03-31
MP-0371,319,2026-03-31
MP-0372,339,2026-03-31
MP-0373,18018,2026-03-31
MP-0374,308,2026-03-31
MP-0375,528,2026-03-31
MP-0376,614,2026-03-31
MP-0377,394,2026-03-31
MP-0378,652,2026-03-31
MP-0379,206,2026-03-31
MP-0380,457,2026-03-31
MP-0381,309,2026-03-31
MP-0382,207,2026-03-31
MP-0383,582,2026-03-31
MP-0384,525,2026-03-31
MP-0385,2343,2026-03-31
MP-0386,8027,2026-03-31
MP-0387,469,2026-03-31
MP-0388,7582,2026-03-31
MP-0389,360,2026-03-31
MP-0390,3073,2026-03-31
MP-0391,562,2026-03-31
MP-0392,465,2026-03-31
MP-0393,2236,2026-03-31
MP-0394,506,2026-03-31
MP-0395,439,2026-03-31
MP-0396,387,2026-03-31
MP-0397,424,2026-03-31
MP-0398,431,2026-03-31
MP-0399,257,2026-03-31
MP-0400,270,2026-03-31
MP-0401,536,2026-03-31
MP-0402,723,2026-03-31
MP-0403,564,2026-03-31
MP-0404,573,2026-03-31
MP-0405,544,2026-03-31
MP-0406,577,2026-03-31
MP-0407,528,2026-03-31
MP-0408,569,2026-03-31
MP-0409,321,2026-03-31
MP-0410,579,2026-03-31
MP-0411,7428,2026-03-31
MP-0412,455,2026-03-31
MP-0413,542,2026-03-31
MP-0414,267,2026-03-31
MP-0415,621,2026-03-31
MP-0416,646,2026-03-31
MP-0417,642,2026-03-31
MP-0418,7354,2026-03-31
MP-0419,386,2026-03-31
MP-0420,383,2026-03-31
