periodo,producto,cantidad_planeada,cantidad_real
2025-02-01,PT-MOD-CAL,81,83
2025-02-01,PT-LOCK-12,111,114
2025-02-01,PT-MESA-JUN,80,70
2025-02-01,PT-BIB-MET,81,76
2025-03-01,PT-ESC-STD,66,59
2025-03-01,PT-ESC-EJE,22,23
2025-03-01,PT-ESC-L,104,104
2025-03-01,PT-ESC-GER,25,21
2025-03-01,PT-ARCH-4G,72,62
2025-03-01,PT-ARCH-2G,114,124
2025-03-01,PT-ARCH-ROD,49,41
2025-03-01,PT-EST-5N,74,73
2025-03-01,PT-EST-3N,100,95
2025-03-01,PT-EST-IND,92,92
2025-03-01,PT-SIL-OPE,42,43
2025-03-01,PT-SIL-INT,64,62
2025-03-01,PT-SIL-GER,84,91
2025-03-01,PT-MOD-REC,99,98
2025-03-01,PT-MOD-CAL,59,63
2025-03-01,PT-LOCK-12,23,23
2025-03-01,PT-MESA-JUN,24,25
2025-03-01,PT-BIB-MET,70,76
2025-04-01,PT-ESC-STD,60,53
2025-04-01,PT-ESC-EJE,34,31
2025-04-01,PT-ESC-L,44,41
2025-04-01,PT-ESC-GER,91,79
2025-04-01,PT-ARCH-4G,63,59
2025-04-01,PT-ARCH-2G,116,112
2025-04-01,PT-ARCH-ROD,112,116
2025-04-01,PT-EST-5N,97,90
2025-04-01,PT-EST-3N,37,33
2025-04-01,PT-EST-IND,76,72
2025-04-01,PT-SIL-OPE,101,104
2025-04-01,PT-SIL-INT,21,18
2025-04-01,PT-SIL-GER,117,100
2025-04-01,PT-MOD-REC,48,45
2025-04-01,PT-MOD-CAL,22,23
2025-04-01,PT-LOCK-12,101,87
2025-04-01,PT-MESA-JUN,25,24
2025-04-01,PT-BIB-MET,87,76
2025-05-01,PT-ESC-STD,65,64
2025-05-01,PT-ESC-EJE,95,82
2025-05-01,PT-ESC-L,81,83
2025-05-01,PT-ESC-GER,73,68
2025-05-01,PT-ARCH-4G,31,26
2025-05-01,PT-ARCH-2G,26,25
2025-05-01,PT-ARCH-ROD,69,61
2025-05-01,PT-EST-5N,49,52
2025-05-01,PT-EST-3N,59,61
2025-05-01,PT-EST-IND,75,79
2025-05-01,PT-SIL-OPE,105,103
2025-05-01,PT-SIL-INT,88,85
2025-05-01,PT-SIL-GER,26,27
2025-05-01,PT-MOD-REC,113,120
2025-05-01,PT-MOD-CAL,44,39
2025-05-01,PT-LOCK-12,44,43
2025-05-01,PT-MESA-JUN,70,69
2025-05-01,PT-BIB-MET,108,107
2025-06-01,PT-ESC-STD,117,108
2025-06-01,PT-ESC-EJE,112,99
2025-06-01,PT-ESC-L,61,55
2025-06-01,PT-ESC-GER,115,115
2025-06-01,PT-ARCH-4G,102,109
2025-06-01,PT-ARCH-2G,69,60
2025-06-01,PT-ARCH-ROD,23,23
2025-06-01,PT-EST-5N,54,53
2025-06-01,PT-EST-3N,79,72
2025-06-01,PT-EST-IND,92,95
2025-06-01,PT-SIL-OPE,89,90
2025-06-01,PT-SIL-INT,86,88
2025-06-01,PT-SIL-GER,46,40
2025-06-01,PT-MOD-REC,67,65
2025-06-01,PT-MOD-CAL,39,42
2025-06-01,PT-LOCK-12,37,39
2025-06-01,PT-MESA-JUN,110,115
2025-06-01,PT-BIB-MET,37,37
2025-07-01,PT-ESC-STD,94,97
2025-07-01,PT-ESC-EJE,35,38
2025-07-01,PT-ESC-L,107,109
2025-07-01,PT-ESC-GER,75,77
2025-07-01,PT-ARCH-4G,99,93
2025-07-01,PT-ARCH-2G,113,102
2025-07-01,PT-ARCH-ROD,70,68
2025-07-01,PT-EST-5N,96,98
2025-07-01,PT-EST-3N,110,116
2025-07-01,PT-EST-IND,112,97
2025-07-01,PT-SIL-OPE,42,35
2025-07-01,PT-SIL-INT,51,49
2025-07-01,PT-SIL-GER,22,22
2025-07-01,PT-MOD-REC,55,59
2025-07-01,PT-MOD-CAL,28,24
2025-07-01,PT-LOCK-12,94,98
2025-07-01,PT-MESA-JUN,46,49
2025-07-01,PT-BIB-MET,45,45
2025-08-01,PT-ESC-STD,61,66
2025-08-01,PT-ESC-EJE,97,93
2025-08-01,PT-ESC-L,52,54
2025-08-01,PT-ESC-GER,46,40
2025-08-01,PT-ARCH-4G,118,122
2025-08-01,PT-ARCH-2G,79,70
2025-08-01,PT-ARCH-ROD,52,52
2025-08-01,PT-EST-5N,70,59
2025-08-01,PT-EST-3N,76,80
2025-08-01,PT-EST-IND,65,67
2025-08-01,PT-SIL-OPE,26,26
2025-08-01,PT-SIL-INT,85,82
2025-08-01,PT-SIL-GER,76,82
2025-08-01,PT-MOD-REC,24,23
2025-08-01,PT-MOD-CAL,110,119
2025-08-01,PT-LOCK-12,113,106
2025-08-01,PT-MESA-JUN,51,47
2025-08-01,PT-BIB-MET,79,76
2025-09-01,PT-ESC-STD,29,27
2025-09-01,PT-ESC-EJE,26,25
2025-09-01,PT-ESC-L,29,26
2025-09-01,PT-ESC-GER,107,96
2025-09-01,PT-ARCH-4G,83,70
2025-09-01,PT-ARCH-2G,89,83
2025-09-01,PT-ARCH-ROD,64,60
2025-09-01,PT-EST-5N,92,93
2025-09-01,PT-EST-3N,46,45
2025-09-01,PT-EST-IND,80,87
2025-09-01,PT-SIL-OPE,83,86
2025-09-01,PT-SIL-INT,86,87
2025-09-01,PT-SIL-GER,61,63
2025-09-01,PT-MOD-REC,100,106
2025-09-01,PT-MOD-CAL,85,73
2025-09-01,PT-LOCK-12,120,129
2025-09-01,PT-MESA-JUN,20,18
2025-09-01,PT-BIB-MET,85,88
2025-10-01,PT-ESC-STD,31,31
2025-10-01,PT-ESC-EJE,33,29
2025-10-01,PT-ESC-L,103,88
2025-10-01,PT-ESC-GER,28,29
2025-10-01,PT-ARCH-4G,98,92
2025-10-01,PT-ARCH-2G,84,86
2025-10-01,PT-ARCH-ROD,96,99
2025-10-01,PT-EST-5N,67,72
2025-10-01,PT-EST-3N,75,68
2025-10-01,PT-EST-IND,65,65
2025-10-01,PT-SIL-OPE,117,124
2025-10-01,PT-SIL-INT,30,30
2025-10-01,PT-SIL-GER,47,40
2025-10-01,PT-MOD-REC,24,20
2025-10-01,PT-MOD-CAL,57,57
2025-10-01,PT-LOCK-12,46,45
2025-10-01,PT-MESA-JUN,115,102
2025-10-01,PT-BIB-MET,106,92
2025-11-01,PT-ESC-STD,30,32
2025-11-01,PT-ESC-EJE,45,43
2025-11-01,PT-ESC-L,74,74
2025-11-01,PT-ESC-GER,47,49
2025-11-01,PT-ARCH-4G,56,51
2025-11-01,PT-ARCH-2G,67,68
2025-11-01,PT-ARCH-ROD,86,83
2025-11-01,PT-EST-5N,57,58
2025-11-01,PT-EST-3N,89,89
2025-11-01,PT-EST-IND,44,39
2025-11-01,PT-SIL-OPE,96,92
2025-11-01,PT-SIL-INT,63,63
2025-11-01,PT-SIL-GER,79,82
2025-11-01,PT-MOD-REC,106,110
2025-11-01,PT-MOD-CAL,95,91
2025-11-01,PT-LOCK-12,57,55
2025-11-01,PT-MESA-JUN,64,68
2025-11-01,PT-BIB-MET,70,65
2025-12-01,PT-ESC-STD,20,18
2025-12-01,PT-ESC-EJE,35,32
2025-12-01,PT-ESC-L,106,110
2025-12-01,PT-ESC-GER,70,63
2025-12-01,PT-ARCH-4G,38,41
2025-12-01,PT-ARCH-2G,67,61
2025-12-01,PT-ARCH-ROD,22,21
2025-12-01,PT-EST-5N,27,25
2025-12-01,PT-EST-3N,89,84
2025-12-01,PT-EST-IND,80,86
2025-12-01,PT-SIL-OPE,35,34
2025-12-01,PT-SIL-INT,88,76
2025-12-01,PT-SIL-GER,105,102
2025-12-01,PT-MOD-REC,114,106
2025-12-01,PT-MOD-CAL,24,22
2025-12-01,PT-LOCK-12,87,92
2025-12-01,PT-MESA-JUN,79,81
2025-12-01,PT-BIB-MET,29,29
2026-01-01,PT-ESC-STD,48,43
2026-01-01,PT-ESC-EJE,24,25
2026-01-01,PT-ESC-L,58,56
2026-01-01,PT-ESC-GER,90,97
2026-01-01,PT-ARCH-4G,208,202
2026-01-01,PT-ARCH-2G,185,175
2026-01-01,PT-ARCH-ROD,108,94
2026-01-01,PT-EST-5N,224,225
2026-01-01,PT-EST-3N,100,91
2026-01-01,PT-EST-IND,120,104
2026-01-01,PT-SIL-OPE,62,57
2026-01-01,PT-SIL-INT,23,20
2026-01-01,PT-SIL-GER,108,99
2026-01-01,PT-MOD-REC,41,39
2026-01-01,PT-MOD-CAL,109,99
2026-01-01,PT-LOCK-12,84,87
2026-01-01,PT-MESA-JUN,27,28
2026-01-01,PT-BIB-MET,81,89
2026-02-01,PT-ESC-STD,97,85
2026-02-01,PT-ESC-EJE,112,112
2026-02-01,PT-ESC-L,29,27
2026-02-01,PT-ESC-GER,88,79
2026-02-01,PT-ARCH-4G,91,94
2026-02-01,PT-ARCH-2G,158,160
2026-02-01,PT-ARCH-ROD,51,55
2026-02-01,PT-EST-5N,112,100
2026-02-01,PT-EST-3N,48,51
2026-02-01,PT-EST-IND,105,114
2026-02-01,PT-SIL-OPE,105,105
2026-02-01,PT-SIL-INT,119,127
2026-02-01,PT-SIL-GER,116,101
2026-02-01,PT-MOD-REC,46,43
2026-02-01,PT-MOD-CAL,96,83
2026-02-01,PT-LOCK-12,77,73
2026-02-01,PT-MESA-JUN,83,77
2026-02-01,PT-BIB-MET,31,26
2026-03-01,PT-ESC-STD,67,68
2026-03-01,PT-ESC-EJE,60,54
2026-03-01,PT-ESC-L,23,24
2026-03-01,PT-ESC-GER,64,60
2026-03-01,PT-ARCH-4G,185,177
2026-03-01,PT-ARCH-2G,41,39
2026-03-01,PT-ARCH-ROD,115,111
2026-03-01,PT-EST-5N,140,121
2026-03-01,PT-EST-3N,42,41
2026-03-01,PT-EST-IND,50,51
2026-03-01,PT-SIL-OPE,79,84
2026-03-01,PT-SIL-INT,45,46
2026-03-01,PT-SIL-GER,84,80
2026-03-01,PT-MOD-REC,102,95
2026-03-01,PT-MOD-CAL,117,119
2026-03-01,PT-LOCK-12,118,128
2026-03-01,PT-MESA-JUN,65,63
2026-03-01,PT-BIB-MET,54,54
